Year,Millions t CO2 eq
2000,123.465662049125
2001,131.517304948582
2002,117.250323245387
2003,113.054830476453
2004,112.806552896586
2005,118.640908570353
2006,123.078972074499
2007,117.708446856443
2008,112.72326513515
2009,110.847819948381
2010,117.8218392497
2011,123.128780586818
2012,124.222299340137
2013,123.740675926872
2014,116.386483474663
2015,117.054033093653
2016,121.131768879534
2017,111.695874436449
2018,115.705549498504
2019,117.034140868494
2020,107.368319452001
2021,111.768126905205
