Year,In percent
2000,2.25842759546266
2001,2.32594344817328
2002,2.56288038781818
2003,2.62096656228112
2004,2.62571580023682
2005,2.84392461495387
2006,2.83569547828773
2007,3.01278692842118
2008,3.22863527353231
2009,3.55038363193311
2010,4.04352232376918
2011,4.27530815363551
2012,4.68102980083462
2013,4.81125128730703
2014,4.58080409173974
2015,4.65537625681354
2016,4.46584554799509
2017,4.42984137131625
2018,4.07369767173086
2019,3.89237589904345
2020,4.04366829807557
2021,4.03368838157393
2022,3.98598309203724
