Year,Data
1995,10.64378566915
1996,10.4769669309522
1997,10.9240191923653
1998,9.73974550167373
1999,9.73905589044144
2000,9.66599042484804
2001,10.1227291894751
2002,10.5701925887205
2003,10.3047725876012
2004,10.1473578850452
2005,10.2909495837251
2006,10.5006313430986
2007,10.8084782626506
2008,10.712965964414
2009,10.8437081938979
2010,10.3942372643551
2011,10.9307882698653
2012,11.0072417648288
2013,11.210881993913
2014,11.1298494461448
2015,11.1590108240947
2016,10.8777647759899
2017,10.8637130902599
2018,10.6356357170873
2019,10.8131385436818
2020,11.5868903609493
2021,11.5570752888286
2022,11.9392278498585
