Year,Millions t CO2 eq.
1990,7.67827220405804
1991,7.64992659548951
1992,7.55559367826136
1993,7.45906709499982
1994,7.43802520069367
1995,7.43518743770349
1996,7.33787178354416
1997,7.11349417766821
1998,7.06902241945603
1999,7.00756759308097
2000,6.97751189472293
2001,6.99858672393425
2002,6.91172713220389
2003,6.79039840279179
2004,6.77723181582668
2005,6.85592333533213
2006,6.87639020015065
2007,6.90840282981908
2008,7.00122615758461
2009,6.89919991681313
2010,6.91117389687991
2011,6.85203329141142
2012,6.87600653116117
2013,6.74863321403386
2014,6.83993356420462
2015,6.74494560915746
2016,6.73080872607876
2017,6.70638000402536
2018,6.60933732851585
2019,6.511549793624
2020,6.46743418035762
2021,6.51462355077326
2022,6.43297451239992
