Year,Thousand tonnes
1990,125.782697037952
1991,133.671291991373
1992,130.902521558519
1993,113.823586202028
1994,111.827362324637
1995,116.75427888793
1996,117.769582078321
1997,95.1487980660314
1998,100.200591339753
1999,104.603224895469
2000,96.810840490584
2001,103.976677826659
2002,100.470801869336
2003,119.408960011097
2004,97.384990140411
2005,93.2242622036528
2006,108.586600757009
2007,102.474027565021
2008,96.7973841857975
2009,92.2782650116639
2010,103.466304669028
2011,88.2649647202635
2012,90.695313047275
2013,103.282873831791
2014,97.6188792970108
2015,104.156623681835
2016,104.803192006096
2017,92.0175282939357
2018,100.619900388376
2019,90.2136041084835
2020,82.530063861458
2021,100.574204974604
2022,93.8255350223246
