Year,Killed ,Seriously injured
1970,1694,18314
1971,1773,18785
1972,1722,18892
1973,1451,16678
1974,1372,15720
1975,1238,14534
1976,1188,13735
1977,1302,14926
1978,1268,14505
1979,1268,14629
1980,1246,14782
1981,1165,14363
1982,1192,14361
1983,1159,14894
1984,1101,13656
1985,908,12823
1986,1034,12703
1987,952,12396
1988,945,12255
1989,925,11939
1990,954,11182
1991,860,10052
1992,834,7844
1993,723,7149
1994,679,6740
1995,692,6933
1996,616,6177
1997,587,6166
1998,597,6213
1999,583,6299
2000,592,6191
2001,544,6194
2002,513,5931
2003,546,5862
2004,510,5528
2005,409,5059
2006,370,5066
2007,384,5235
2008,357,4780
2009,349,4708
2010,327,4458
2011,320,4437
2012,339,4202
2013,269,4129
2014,243,4043
2015,253,3830
2016,216,3785
2017,230,3654
2018,233,3873
2019,187,3639
2020,227,3793
2021,200,3933
2022,241,4002
2023,236,4096
