Year,Domestic production,Import surplus of energy carriers and nuclear fuels
1980,156.91,707.29
1981,169.25,682.25
1982,174.18,636.03
1983,170.74,696.92
1984,155.36,734.13
1985,165.34,771.33
1986,169.66,834.05
1987,176.34,773.32
1988,178.68,780.58
1989,157.15,805.81
1990,166.76,860.77
1991,180.34,862.91
1992,181.96,867.42
1993,196.09,798.93
1994,206.32,826.2
1995,197.61,821.64
1996,180.76,882.19
1997,197.03,877.05
1998,198.21,904.83
1999,225.23,840.85
2000,217.65,856.28
2001,236.58,910.26
2002,216.61,907.37
2003,219.59,895.27
2004,215.54,906.62
2005,211.23,915.22
2006,215.6,956.6
2007,229.31,873.56
2008,239.53,926.56
2009,238.77,935.88
2010,247.78,897.74
2011,231.02,877.61
2012,261.95,873.91
2013,265.1,905.31
2014,260.82,844.88
2015,261.05,811.51
2016,257.94,816.01
2017,262.06,812.73
2018,263.94,804.86
2019,281.21,841.22
2020,283.15,741.41
2021,291.3,702.01
2022,265.17,742.18
2023,298.59,737.73
