Year,Gigajoules per capita
1990,112.179014212998
1991,116.842627566052
1992,115.643454146824
1993,110.933213703977
1994,107.047713917003
1995,109.260936415788
1996,111.412522335659
1997,108.619037831828
1998,111.361598497526
1999,111.11104814063
2000,109.136521497479
2001,112.163905627795
2002,108.1280642262
2003,110.850749323287
2004,110.891025891246
2005,111.765785523015
2006,110.410793908602
2007,105.895288799128
2008,108.436442038328
2009,104.846539695129
2010,108.281917994036
2011,98.8826649013358
2012,101.594438949954
2013,103.057878062603
2014,93.2442106411088
2015,93.444797115877
2016,93.9144543619192
2017,92.2859843370148
2018,88.8580029736559
2019,88.4663625535058
2020,83.4378274950812
2021,87.7894947595889
2022,80.637336299411
2023,78.587531569837
