Year,Thousand CHF
1991,56.4597062396335
1992,57.057362897133
1993,57.7400645805266
1994,58.5592136269939
1995,58.8020807030996
1996,58.9530083662127
1997,59.8324351179134
1998,61.3544332459302
1999,62.063313850084
2000,65.047124584446
2001,66.4295181450708
2002,65.734208113837
2003,65.9998665222551
2004,67.5233491108462
2005,69.6100721222642
2006,73.5828854795034
2007,77.6270067883066
2008,79.9998436665357
2009,77.5659047045963
2010,79.5024282190282
2011,80.3471645682087
2012,80.4872798299135
2013,80.922698748659
2014,81.2854983904716
2015,80.653760300695
2016,80.9531790743627
2017,80.9951995634431
2018,83.3326499553714
2019,83.59827199017
2020,80.6444236366764
2021,85.5951680272204
2022,89.8100199272645
2023,90.0267053616877
