Year,Index 1991=100
1991,100
1992,100.885004103242
1993,101.80881053925
1994,102.521836426965
1995,104.350807833266
1996,106.585269789594
1997,109.763817049179
1998,111.076345788646
1999,110.585253194589
2000,114.160393569168
2001,116.781853365443
2002,117.383424843709
2003,116.825789558211
2004,117.504486444851
2005,120.212095433205
2006,123.224807284316
2007,125.603416422331
2008,126.826777790888
2009,123.983523351272
2010,127.508172441023
2011,126.778470146599
2012,127.274908090906
2013,129.625720545241
2014,130.903242479987
2015,130.039054915004
2016,130.873906322107
2017,132.972903260533
2018,136.041887849812
2019,136.797276205289
2020,139.055504548862
2021,142.653079832917
2022,144.470209382705
2023,142.935908685791
