Year,Million tons
2000,144.812095334478
2001,151.240389861967
2002,148.708647771785
2003,144.502178475485
2004,145.934251818678
2005,147.456184321639
2006,149.926356974366
2007,153.913146193858
2008,155.993923850549
2009,157.665173588385
2010,144.571455794696
2011,156.49915563848
2012,152.582269480323
2013,156.230730761039
2014,150.165915041752
2015,152.872994110415
2016,158.907587498941
2017,154.678793418415
2018,148.04611070852
2019,146.195668479732
2020,140.12985393208
2021,136.288912578839
2022,140.389216983085
