Year,"CHF millions, at current prices"
2001,14265.540754357
2002,14239.9995967767
2003,14131.4106818413
2004,14414.8908020303
2005,14856.4350065077
2006,15648.1459420404
2007,16407.4518682157
2008,17359.5241273733
2009,17056.3277470271
2010,17538.6678371961
2011,17342.8069982207
2012,17674.8010307302
2013,18125.4751247095
2014,18356.0877399828
2015,18246.1826218137
2016,18378.2113019984
2017,19167.5462651875
2018,19940.0268340082
2019,20353.1774975474
2020,14024.540572744
2021,15460.0414317278
2022,19606.5847404701
