Year,Index 2000 = 100
2000,100
2001,102.818979548033
2002,101.171880031746
2003,98.3419278609706
2004,96.7038774569541
2005,95.0974967017254
2006,92.9059193641649
2007,91.7819164321264
2008,90.4820114303484
2009,93.6017790771265
2010,83.1320705924363
2011,88.3882114148726
2012,85.1716273837894
2013,85.6728228924234
2014,80.4564074285847
2015,80.5815490956497
2016,82.0648037504867
2017,78.8069426736138
2018,73.3301045560811
2019,71.5959318664573
2020,70.1272822148124
2021,64.6128720371764
2022,64.5905979969917
