Year,Women,Men
1991,3.4383286439,2.9627630978
1992,4.2528159393,4.7989289085
1993,5.8606247865,6.8923759441
1994,6.5449381394,5.4261977658
1995,5.5319225219,5.3751049157
1996,4.0502269908,5.2053201004
1997,3.8409485563,7.9588440819
1998,6.9981335786,4.7065627402
1999,5.6557586305,5.6440808884
2000,3.9073963731,5.6166548515
2001,5.4904522694,5.7524002956
2002,3.925244754,7.1450007543
2003,8.7215001671,8.2867346576
2004,7.3607283405,8.0361099741
2005,9.0830190412,8.4584408119
2006,7.4651795715,7.9226558794
2007,7.3924317377,6.8127427542
2008,7.3948930071,6.6668091102
2009,8.9538988716,7.9412171473
2010,7.7741147577,7.2936567875
2011,5.1310352174,7.1034336125
2012,6.3485243388,6.0559032614
2013,8.4388957198,6.5984265318
2014,7.6044640971,8.0050187079
2015,5.954780299,7.8304300293
2016,7.1141824448,6.696769838
2017,7.1779906044,6.5624537792
2018,6.0494658756,6.6985684219
2019,3.9546072578,8.2822875414
2020,6.5950240386,10.0344449088
2021,7.6337152436,7.7069979155
2022,6.3843968149,6.2068815995
2023,6.3140239666,6.4043353009
2024,6.6611169844,5.2166243641
