Year,M: Population without a migration background,95% Confidence interval (+/-),W: Population without a migration background,95% Confidence interval (+/-),M: Population with a migration background,95% Confidence interval (+/-),W: Population with a migration background,95% Confidence interval (+/-)
2012,5.21098885160452,0.730243262383937,8.68838116435533,0.875528628116633,9.10677718842802,1.90489487418352,10.1134865697183,1.74601409656216
2013,3.97395163216854,0.651061515364418,6.95541792300589,0.794143140374212,6.60772788593837,1.65421231277252,7.74398707967022,1.7148453250603
2014,4.838,0.634,7.695,0.8,6.973,1.317,8.415,1.475
2015,5.026,0.731,7.794,0.859,7.772,1.21,10.621,1.398
2016,5.424,0.745,8.523,0.869,7.464,1.157,9.579,1.392
2017,5.566,0.722,8.957,0.87,9.72,1.301,9.602,1.245
2018,6.103,0.966,7.353,0.976,8.997,1.524,10.68,1.598
2019,5.922,0.807,9,0.91,10.552,1.514,10.427,1.396
2020,5.55064303570195,0.80108288506479,7.94495718318114,0.852495682998844,9.37893500031601,1.5947191159752,11.7709555566059,1.80666687457334
2021,5.65899948463364,0.7774666714554,8.25992148600076,0.88560540659714,10.4747332474494,1.58988387401333,12.3752436959414,1.52366975363133
2022,6.23844718065392,0.843771874617756,8.91717760572392,0.884169436854344,9.84684848726934,1.41309337271003,10.502034219051,1.38658532892
