Year,Data,95% Confidence interval (+/-)
2000,5.5845094539,0.480175801636122
2001,4.757997531,0.353679289622793
2002,5.340853948,0.427530546543352
2003,4.9756303356,0.366269254055108
2004,5.6420712903,0.554926565394016
2005,5.8665310866,0.534064633887646
2006,5.6303278646,0.517732973590783
2007,6.7325345959,0.822477113743674
2008,5.6972018379,0.467639218681242
2009,5.4363290798,0.449907994031399
2010,5.553297629,0.487358105676588
2011,5.8253774572,0.578787050847995
2012,6.0838051949,0.761289593530081
2013,6.6550097222,0.773658101719004
2014,6.1416468517,0.67727050553174
2015,6.8218605513,0.925839391274429
2016,6.6561211848,0.685129514444528
2017,7.2801613749,0.986600959597982
2018,7.6801643893,1.20565269920477
2019,6.9305536643,0.85849328566936
2020,6.97509147,0.899020266665929
2021,6.5988884999,0.800206303692491
