Year,Population without a migration background,95% Confidence interval (+/-),Population with a migration background,95% Confidence interval (+/-)
2012,6.99927753871283,0.665209670271864,9.60582423209362,1.50067394832552
2013,5.49533523398035,0.576875166445415,7.1788481586952,1.321058995172
2014,6.292,0.569,7.703,1.21
2015,6.436,0.559,9.203,0.902
2016,6.985,0.566,8.546,0.897
2017,7.286,0.558,9.66,0.882
2018,6.742,0.677,9.831,1.074
2019,7.462,0.597,10.488,0.992
2020,6.75964668089759,0.639117612893063,10.5906339272162,1.33558672111722
2021,6.98138963444603,0.626888633006261,11.4259317415271,1.2672088474179
2022,7.61140382937351,0.651125540151637,10.1699891842166,1.12968090792438
