Year,Middle-income countries,Least developed countries
2000,59.3524338267915,67.7009533786639
2001,59.5092162114957,62.1115025194523
2002,58.7035269646202,60.9142245008303
2003,57.7266826385546,65.4373582444849
2004,59.14760434445,66.9425411183385
2005,61.675931528677,69.6819417652688
2006,61.4883189930219,61.3903535009871
2007,63.981354265532,87.1030759411091
2008,70.2367885337091,72.7675337083673
2009,65.3096815734397,74.6266429314634
2010,72.2493406844397,79.1074226882199
2011,66.2049739676489,84.7791189080071
2012,62.220133682741,55.2725725092646
2013,65.2414543355911,58.4753555099901
2014,78.3337292659009,92.4392474899271
2015,79.729009895954,90.9595799800959
2016,76.6354877121148,91.1961923984334
2017,78.8192811299995,85.8305977939815
2018,77.9528700214747,86.1828875282583
2019,76.628548473768,86.5169091122514
2020,76.9,88.1
2021,74,83.8
2022,78.0903491499711,83.8803610985686
2023,77.1360297683523,83.1057116326505
