Year,Million CHF (at constant prices)
1972,46.5872365339578
1973,240.803302225413
1974,68.1945716154349
1975,340.382812500001
1976,39.8579819277109
1977,538.710588935159
1978,1102.54281930547
1979,94.1335227272727
1980,48.8032495903879
1981,96.0426923076924
1982,72.296723300971
1983,91.2910183875531
1984,170.146243701328
1985,82.0210363153233
1986,189.823186813187
1987,1863.83611351819
1988,186.77552105487
1989,20.8011340206185
1990,394.549002347419
1991,157.244179600887
1992,77.2745115452931
1993,1105.73237620358
1994,253.648568019094
1995,99.4106664434026
1996,40.4730897009967
1997,229.212396694215
1998,49.9219679444812
1999,790.582377049176
2000,818.357537120722
2001,90.8963326941516
2002,391.432835820896
2003,81.2006942253076
2004,53.7799780839073
2005,3268.84091120051
2006,80.0086497244337
2007,759.21964285714
2008,24.1729228486648
2009,27.4178347748285
2010,65.2897659952605
2011,124.265625
2012,40.9344689080631
2013,131.572674418605
2014,105.960259469132
2015,155.7592760181
2016,103.250454545455
2017,184.451627486438
2018,215.531277993431
2019,86.7038827729843
2020,42.2112676056339
2021,470.696737187112
2022,45.5359316140249
2023,72.61
