Year,Tonnes per person
2000,20.1014699824582
2001,20.8444904768692
2002,20.332463309255
2003,19.6223892397986
2004,19.6806802952513
2005,19.768555295155
2006,19.9669154799982
2007,20.2690811626187
2008,20.2540691296422
2009,20.2503342092501
2010,18.3696307832492
2011,19.673891315367
2012,18.9801132819413
2013,19.1938345560185
2014,18.2291822758719
2015,18.3584341236598
2016,18.8736437813114
2017,18.2315444740256
2018,17.3264255246101
2019,16.9875793504083
2020,16.1620536696631
2021,15.595854458453
2022,15.9254776714896
