Year,Million tonnes
1980,2.832
1981,2.948173
1982,3.027215
1983,3.118793
1984,3.327757
1985,3.407772
1986,3.569063
1987,3.715015
1988,3.891126
1989,4.062358
1990,4.100501
1991,4.131204
1992,4.126675
1993,4.172465
1994,4.193045
1995,4.2419
1996,4.278604
1997,4.326423
1998,4.371583
1999,4.557445
2000,4.73082
2001,4.793675
2002,4.936102
2003,4.9157
2004,4.89637
2005,4.940006
2006,5.33001
2007,5.464665
2008,5.653459
2009,5.461285
2010,5.567945
2011,5.475775
2012,5.579536
2013,5.712413
2014,6.005711
2015,6.025737
2016,6.060132
2017,5.996258
2018,6.015645
2019,6.081901
2020,6.100664
2021,6.134005
2022,5.940211
