Year,Plants,Mosses,Molluscs
2001/2005,60.01,60.66,56.17
2002/2006,59.28,58.41,56.55
2003/2007,58.39,58.31,56.66
2004/2008,58.36,57.16,55
2005/2009,58.5,58.31,53.13
2006/2010,58.36,58.06,51.49
2007/2011,57.97,57.63,48.98
2008/2012,58.07,58.78,46.99
2009/2013,58.09,59.17,45.04
2010/2014,57.99,57.99,44.28
2011/2015,57.62,58.16,45.22
2012/2016,57.86,58.23,44.79
2013/2017,58.13,58.11,44.65
2014/2018,58.16,59.16,45.54
2015/2019,58.65,60.52,46.22
2016/2020,58.96,60.16,45.16
2017/2021,59.06,60.88,44.85
2018/2022,59.69,61.31,45.89
2019/2023,59.81,59.87,
