Year,Middle-income developing countries,Least developed countries
2004,218.4,-326.8
2005,7995.6,278.6
2006,13088.2,39.9
2007,4216,309.6
2008,11302.3,259.5
2009,4541.5,777.6
2010,20069.3,1067
2011,8413.2,92.1000000000001
2012,11409.3,-1088.9
2013,7629.7,524.5
2014,7387.81065802452,47.0376508226604
2015,-605.083851101262,639.447248619913
2016,-665.78710293588,371.742182560894
2017,9596.55975145225,379.581656483013
2018,8187.51445821679,-275.611283209973
2019,11582.5507753556,655.119344262868
2020,5021.85004970499,1902.44926769234
2021,12087.3885304909,-3758.78855163286
2022,8541.77862087789,-118.2442417314
