Year,Percentage of passenger-kilometres
1998,17.1462394188045
1999,17.2874023718447
2000,17.1815041507562
2001,17.8281181264496
2002,18.444255989093
2003,18.7167823893014
2004,18.9152756067849
2005,19.9169038633357
2006,20.0974352206069
2007,20.619387422151
2008,20.3790175633053
2009,20.5212631281172
2010,20.6037546455572
2011,20.7383053197791
2012,20.4090833103182
2013,20.3530276695803
2014,20.5566256102591
2015,20.6429027249329
2016,20.6002464689602
2017,20.3573046032106
2018,20.0229077369007
2019,20.7045481484992
2020,17.5757349281033
2021,17.6733622912627
2022,20.8184851811695
2023,22.5364318095434
