Year,Least Developed Countries (LDCs),Small Island Developing States (SIDS)
1999,368.455492455131,15.649275
2000,446.593601675619,16.822184
2001,407.265447717569,7.645586
2002,383.923274017477,10.765524
2003,532.419800178275,15.113209
2004,510.090018136316,21.006459
2005,512.785988117826,16.352708
2006,534.282739738211,13.367067
2007,568.387928674972,16.124281
2008,551.738116633254,17.13154
2009,777.308764826022,12.773139
2010,617.703827753016,30.873678
2011,719.931090776167,21.126569
2012,684.546428228284,23.193714
2013,752.420902414981,29.526242
2014,774.529063958044,33.041507
2015,869.594126276383,32.465789
2016,883.950526066366,39.87734
2017,908.577170400889,37.741977
2018,919.882020437759,31.658782
2019,938.89586681345,36.940384
2020,958.016669449502,36.303169
2021,996.127184318175,45.078843
2022,949.695498355261,37.28143
2023,1039.22163684309,26.185988
