,14711940a_metr,23567403a_metr,28325075a_metr,28325089a_metr,28325090a_metr,29946646a_metr,29946686a_metr,29946686b_metr,33188530a_metr,33188571a_metr,33188571b_metr,33188574a_metr,33188575a_metr,33188582a_metr,33188583a_metr,33188590a_metr,33188593a_metr,33188593b_metr,33188593c_metr,33188602a_metr,33188602b_metr,33188608a_metr,33188608b_metr,33188617a_metr,33188624a_metr,33188624b_metr,33188624c_metr,33188624d_metr,33188624e_metr,33188627a_metr,33188627b_metr,33188633a_metr,33188637a_metr,33188637b_metr,33188640a_metr,33188640b_metr,33188644a_metr,33188653a_metr,33188653b_metr,33188658a_metr,33188658b_metr,33188661a_metr,33188669a_metr,33188670a_metr,33188670b_metr,33188685a_metr,33188685b_metr,33188685c_metr,33188685d_metr,33188686a_metr,33188694a_metr,33188696a_metr,33188698a_metr,33188700a_metr,33188720a_metr,33188723a_metr,33188723b_metr,33188724a_metr,33188726a_metr,33188729a_metr,33188732a_metr,33188732b_metr,33188732c_metr,33188747a_metr,33188757a_metr,33188758a_metr,33188760a_metr,33188760b_metr,33188762a_metr,33188763a_metr,33188784a_metr,33188792a_metr,33188792b_metr,33188792c_metr,33188792d_metr,33188793a_metr,33188795a_metr,33188795b_metr,33188804a_metr,33188804b_metr,33188818a_metr,33188819a_metr,33188823a_metr,33188850a_metr,33188850b_metr,33188851a_metr,33188856a_metr,33188870a_metr,33188873a_metr,33188880a_metr,33188881a_metr,33188898a_metr,33188899a_metr,33188899b_metr,33188899c_metr,33188909a_metr,33188910a_metr,33188914a_metr,33188914b_metr,33188931a_metr,33188932a_metr,33188938a_metr,33188938b_metr,33188939a_metr,33188943a_metr,33188943b_metr,33188945a_metr,33188967a_metr,33188969a_metr,33188969b_metr,33707230a_metr,33707230b_metr,33707241a_metr,33707241b_metr,33707243a_metr
14711940a_metr,1.0,0.99636,0.99817,0.99773,0.99803,0.99386,0.839,0.98055,0.99554,0.9951,0.99442,0.96111,0.98059,0.94036,0.99478,0.9237,0.99324,0.99711,0.99922,0.99532,0.9933,0.93638,0.90129,0.99064,0.99821,0.97233,0.98971,0.98761,0.83686,0.99995,0.9973,0.98569,0.98609,0.98932,0.99942,0.99882,0.99386,0.98696,0.9864,0.99577,0.99649,0.99458,0.6951,0.93258,0.98607,0.99462,0.9878,0.97468,0.9905,0.98825,0.97295,0.99428,0.95602,0.76875,0.99161,0.95893,0.99664,0.94171,0.98903,0.99759,0.9567,0.99189,0.99589,0.89875,0.97717,0.99524,0.768,0.99353,0.96974,0.80535,0.99277,0.99832,0.99445,0.9975,0.98788,0.99811,0.99841,0.99162,0.88632,0.98771,0.92877,0.96482,0.99532,0.98935,0.99797,0.97614,0.91813,0.99747,0.97356,0.98958,0.9958,0.99219,0.99836,0.9902,0.84607,0.94612,0.99159,0.99608,0.98664,0.9799,0.99449,0.99158,0.98509,0.99014,0.99515,0.9853,0.9939,0.92648,0.98986,0.99659,0.99832,0.99125,0.99523,0.96329,0.97387
23567403a_metr,0.96356,1.0,0.96744,0.96372,0.95674,0.96052,0.70902,0.89401,0.9606,0.96779,0.95194,0.97852,0.90381,0.81871,0.86538,0.80632,0.86137,0.97494,0.98261,0.94313,0.93345,0.93469,0.91411,0.98877,0.97375,0.9595,0.89347,0.8877,0.85049,0.91924,0.96092,0.93283,0.91958,0.97821,0.93282,0.95164,0.99686,0.94468,0.91772,0.94357,0.93717,0.95119,0.67051,0.91689,0.89109,0.97592,0.9263,0.91838,0.95716,0.9405,0.91519,0.95183,0.90765,0.68001,0.96335,0.91475,0.96565,0.8208,0.93158,0.93593,0.98398,0.97738,0.9562,0.85957,0.89217,0.99241,0.75942,0.99426,0.92559,0.71907,0.95786,0.95648,0.95714,0.94446,0.92345,0.96028,0.95798,0.93972,0.7952,0.87514,0.92504,0.9837,0.94766,0.97115,0.9623,0.90561,0.80656,0.95171,0.87984,0.96354,0.96786,0.96871,0.88839,0.97149,0.8077,0.94419,0.93636,0.95517,0.96068,0.80674,0.97439,0.93859,0.97801,0.97736,0.97578,0.9736,0.93299,0.96485,0.96563,0.95989,0.95759,0.99407,0.9582,0.97644,0.97501
28325075a_metr,0.97207,0.99408,1.0,0.99588,0.96754,0.99573,0.60886,0.87154,0.99623,0.99774,0.99338,0.97873,0.89551,0.83711,0.99546,0.93288,0.99411,0.99701,0.99111,0.93353,0.94789,0.94147,0.95851,0.95142,0.99968,0.98651,0.99126,0.98962,0.75888,0.99929,0.98123,0.98794,0.98792,0.99238,0.99865,0.9638,0.99677,0.9887,0.95009,0.97063,0.94823,0.94346,0.6887,0.92361,0.98649,0.98116,0.93721,0.91517,0.99377,0.93681,0.97607,0.96682,0.92251,0.63926,0.98215,0.90682,0.93058,0.68272,0.98862,0.92974,0.99313,0.9756,0.99753,0.91442,0.90588,0.95712,0.80313,0.97524,0.97167,0.81292,0.97313,0.9731,0.97073,0.98405,0.98431,0.96352,0.97561,0.98267,0.73567,0.99212,0.94627,0.98669,0.97351,0.96883,0.99938,0.89321,0.79597,0.93515,0.97842,0.98588,0.98929,0.98045,0.99721,0.98391,0.83518,0.98022,0.99578,0.9894,0.98801,0.98646,0.93265,0.99214,0.96784,0.97145,0.954,0.96842,0.95599,0.91648,0.97258,0.99226,0.9809,0.97177,0.9968,0.98091,0.98041
28325089a_metr,0.96203,0.99402,0.99588,1.0,0.95649,0.99712,0.57792,0.85136,0.99142,0.9937,0.98768,0.96617,0.87718,0.81436,0.99187,0.91623,0.98998,0.9934,0.98937,0.91821,0.93454,0.92768,0.95541,0.93802,0.99753,0.97882,0.9859,0.98358,0.7459,0.9998,0.97239,0.98141,0.98169,0.98629,0.99894,0.95222,0.99785,0.98268,0.93583,0.95998,0.93414,0.92876,0.72364,0.92505,0.98117,0.98242,0.92471,0.9049,0.98927,0.92377,0.96711,0.95535,0.91178,0.63325,0.97302,0.90001,0.9142,0.65906,0.98099,0.91418,0.99492,0.97572,0.99774,0.90244,0.88697,0.94279,0.79547,0.9698,0.96304,0.79028,0.96262,0.9628,0.95925,0.9754,0.97625,0.9513,0.96574,0.9734,0.73081,0.98543,0.94017,0.9844,0.96367,0.97064,0.99694,0.88593,0.78815,0.91937,0.96875,0.97748,0.98262,0.97154,0.99628,0.97571,0.82439,0.97603,0.99061,0.98179,0.98216,0.9782,0.91673,0.9878,0.95577,0.96109,0.94109,0.95757,0.94689,0.91335,0.96225,0.98629,0.97155,0.97239,0.99211,0.97353,0.96948
28325090a_metr,0.99873,0.99252,0.98251,0.97753,1.0,0.98398,0.74567,0.94759,0.99865,0.99773,0.99969,0.99266,0.9627,0.9243,0.99928,0.98197,0.99924,0.99998,0.99896,0.98393,0.99061,0.98766,0.98107,0.96342,0.99867,0.98691,0.99937,0.99976,0.69521,0.99994,0.99994,0.99973,0.99942,0.99962,0.99906,0.99659,0.99099,0.99943,0.99086,0.99843,0.99057,0.98843,0.90302,0.90563,0.9969,0.98846,0.95708,0.94208,0.99247,0.96123,0.99922,0.99736,0.95037,0.68507,0.99935,0.94117,0.9819,0.78123,0.99526,0.98204,0.9805,0.99187,0.99125,0.96493,0.96803,0.96227,0.76704,0.98382,0.99719,0.90675,0.99884,0.99895,0.99732,0.99944,0.99995,0.99615,0.99939,0.99844,0.88674,0.99653,0.9436,0.99677,0.99903,0.98001,0.99919,0.91957,0.87079,0.98377,0.99952,0.99568,0.99986,0.99993,0.99636,0.99996,0.8333,0.97062,0.99485,0.99681,0.99885,0.99283,0.98291,0.99811,0.99433,0.99863,0.99314,0.99791,0.96524,0.9284,0.99886,0.99987,0.99943,0.97586,0.99689,0.99661,0.98458
29946646a_metr,0.99975,0.96752,0.98565,0.98193,0.99906,1.0,0.77275,0.95936,0.9924,0.99075,0.99568,0.99557,0.97259,0.9381,0.99857,0.98521,0.99893,0.99609,0.97503,0.9896,0.99512,0.99327,0.95401,0.97144,0.98964,0.98912,0.99909,0.99901,0.73288,0.99305,0.99866,0.99917,0.99959,0.99564,0.99741,0.99857,0.96632,0.9995,0.99321,0.9992,0.99392,0.99225,0.88547,0.85862,0.99621,0.94734,0.87522,0.81279,0.98518,0.87786,0.99996,0.99839,0.82552,0.54903,0.99692,0.8537,0.98661,0.77056,0.99055,0.98831,0.97053,0.92807,0.97837,0.98407,0.97467,0.97159,0.93737,0.95133,0.99952,0.98414,0.99878,0.99923,0.99639,0.99678,0.99848,0.99722,0.99922,0.99514,0.73903,0.99241,0.95847,0.99726,0.99976,0.92185,0.9913,0.77042,0.6143,0.98791,0.99832,0.99184,0.99796,0.99893,0.99052,0.99839,0.88701,0.91896,0.98858,0.9916,0.99952,0.98626,0.98768,0.99777,0.99257,0.9995,0.99647,0.99924,0.98199,0.85718,0.99932,0.99661,0.99738,0.81819,0.98893,0.99423,0.98987
29946686a_metr,0.7475,0.91941,0.6421,0.62333,0.73236,0.94688,1.0,0.55347,0.8218,0.83104,0.81063,0.77001,0.5939,0.49571,0.83658,0.63999,0.82975,0.83674,0.96591,0.6578,0.69179,0.68203,0.5767,0.58287,0.85315,0.64284,0.81421,0.80531,0.5197,0.8824,0.76722,0.79862,0.80225,0.80551,0.91237,0.72356,0.98803,0.80513,0.6815,0.73904,0.68267,0.67196,0.98111,0.88575,0.81218,0.95696,0.80582,0.82817,0.81864,0.86135,0.76293,0.72666,0.86895,0.47895,0.7636,0.8765,0.64236,0.53384,0.7829,0.65224,0.991,0.9255,0.87416,0.63393,0.59357,0.587,0.66068,0.65493,0.76424,0.5204,0.74222,0.74481,0.72823,0.77049,0.77823,0.71534,0.7515,0.76176,0.67093,0.79732,0.60741,0.71199,0.7508,0.95292,0.85014,0.83851,0.65058,0.65244,0.75535,0.77266,0.7975,0.76594,0.86718,0.77636,0.64039,0.9521,0.81585,0.7847,0.80668,0.77369,0.64964,0.82649,0.71805,0.74329,0.70113,0.73537,0.51685,0.55403,0.74419,0.80706,0.76039,0.66156,0.82269,0.71237,0.65863
29946686b_metr,0.99451,0.97237,0.96793,0.96196,0.99188,0.97086,0.7176,1.0,0.99515,0.99349,0.99742,0.98364,0.94893,0.90467,0.99865,0.96724,0.99907,0.99725,0.973,0.9731,0.98263,0.97954,0.96714,0.94676,0.99243,0.98264,0.9995,0.99941,0.75879,0.99332,0.99643,0.99931,0.99964,0.99742,0.9956,0.99021,0.97605,0.99967,0.97992,0.99297,0.98055,0.9776,0.8598,0.8665,0.99994,0.94993,0.88355,0.81438,0.98223,0.92176,0.99672,0.9906,0.84183,0.47994,0.99458,0.8519,0.96857,0.73419,0.99003,0.97113,0.95065,0.9296,0.97988,0.98492,0.95126,0.94723,0.90449,0.92083,0.99942,0.99598,0.99313,0.99381,0.98931,0.99537,0.9975,0.98808,0.99474,0.99288,0.77372,0.994,0.96939,0.9876,0.99499,0.9297,0.99367,0.7745,0.61504,0.97116,0.99458,0.99049,0.99853,0.99647,0.99512,0.99728,0.8942,0.93543,0.99034,0.99295,0.99987,0.98692,0.97046,0.99952,0.98474,0.99377,0.98523,0.99244,0.97851,0.71694,0.99378,0.99795,0.99452,0.843,0.99244,0.98589,0.97351
33188530a_metr,0.99583,0.99323,0.97463,0.9685,0.99399,0.98722,0.7175,0.93354,1.0,0.99889,0.9995,0.99498,0.95067,0.90769,0.99926,0.97398,0.99919,0.99995,0.99881,0.97569,0.98411,0.98038,0.87456,0.96101,0.99893,0.99095,0.99935,0.99969,0.78385,0.99976,0.9988,0.9997,0.99943,0.99969,0.99876,0.99231,0.99295,0.99944,0.98477,0.99527,0.98413,0.98711,0.67493,0.91982,0.99764,0.99031,0.95349,0.93866,0.99279,0.95873,0.99711,0.99358,0.93041,0.50369,0.99853,0.93753,0.97343,0.8182,0.99616,0.97337,0.97913,0.9866,0.99236,0.95396,0.9571,0.9716,0.71032,0.98721,0.99457,0.88864,0.99614,0.99622,0.9944,0.99903,0.9995,0.99189,0.99712,0.99793,0.60767,0.99846,0.86503,0.99706,0.99638,0.98057,0.99935,0.92452,0.80046,0.97593,0.99784,0.9965,0.99999,0.99862,0.99698,0.99941,0.70686,0.95481,0.99543,0.99816,0.99904,0.99435,0.9747,0.99829,0.99143,0.99561,0.98743,0.99437,0.96633,0.87437,0.99604,0.99977,0.99832,0.96539,0.99715,0.99492,0.99037
33188571a_metr,0.99723,0.99455,0.97886,0.97322,0.99583,0.98663,0.72982,0.93991,0.99938,1.0,0.99948,0.99119,0.95612,0.9153,0.99865,0.97826,0.99882,0.99957,0.99861,0.97959,0.98711,0.98365,0.88253,0.95736,0.99818,0.98404,0.99906,0.99924,0.84291,0.99908,0.99956,0.99949,0.9991,0.99916,0.99834,0.99441,0.99109,0.99902,0.98799,0.99691,0.98736,0.99411,0.72141,0.91849,0.99702,0.98915,0.9538,0.93922,0.99304,0.95545,0.99806,0.99557,0.93045,0.51064,0.99934,0.93837,0.9777,0.80638,0.99613,0.97741,0.98189,0.98869,0.99314,0.95835,0.96256,0.96185,0.68494,0.98775,0.99549,0.89649,0.99765,0.99768,0.99626,0.99963,0.99991,0.99419,0.99838,0.99873,0.69122,0.99807,0.87323,0.9994,0.99768,0.97983,0.99867,0.92193,0.8413,0.97991,0.99895,0.99683,0.99977,0.99943,0.99597,0.99988,0.71943,0.95738,0.99577,0.99816,0.99858,0.99455,0.97878,0.99788,0.99348,0.99713,0.99017,0.99613,0.96916,0.87857,0.99752,0.99936,0.99923,0.96783,0.99796,0.99458,0.98038
