,14711940a_metr,28325075a_metr,28325089a_metr,28325090a_metr,33188530a_metr,33188571a_metr,33188571b_metr,33188590a_metr,33188602a_metr,33188602b_metr,33188644a_metr,33188653a_metr,33188653b_metr,33188661a_metr,33188698a_metr,33188724a_metr,33188757a_metr,33188784a_metr,33188804a_metr,33188804b_metr,33188856a_metr,33188873a_metr,33188898a_metr,33188910a_metr,33188914a_metr,33188914b_metr,33188945a_metr,33188967a_metr,33188969a_metr,33188969b_metr,33707243a_metr
14711940a_metr,1.0,0.99817,0.99773,0.99803,0.99554,0.9951,0.99442,0.9237,0.99532,0.9933,0.99386,0.98696,0.9864,0.99458,0.95602,0.94171,0.97717,0.99277,0.88632,0.98771,0.91813,0.97356,0.99219,0.99159,0.99608,0.98664,0.9939,0.92648,0.98986,0.99659,0.97387
28325075a_metr,0.97207,1.0,0.99588,0.96754,0.99623,0.99774,0.99338,0.93288,0.93353,0.94789,0.99677,0.9887,0.95009,0.94346,0.92251,0.68272,0.90588,0.97313,0.73567,0.99212,0.79597,0.97842,0.98045,0.99578,0.9894,0.98801,0.95599,0.91648,0.97258,0.99226,0.98041
28325089a_metr,0.96203,0.99588,1.0,0.95649,0.99142,0.9937,0.98768,0.91623,0.91821,0.93454,0.99785,0.98268,0.93583,0.92876,0.91178,0.65906,0.88697,0.96262,0.73081,0.98543,0.78815,0.96875,0.97154,0.99061,0.98179,0.98216,0.94689,0.91335,0.96225,0.98629,0.96948
28325090a_metr,0.99873,0.98251,0.97753,1.0,0.99865,0.99773,0.99969,0.98197,0.98393,0.99061,0.99099,0.99943,0.99086,0.98843,0.95037,0.78123,0.96803,0.99884,0.88674,0.99653,0.87079,0.99952,0.99993,0.99485,0.99681,0.99885,0.96524,0.9284,0.99886,0.99987,0.98458
33188530a_metr,0.99583,0.97463,0.9685,0.99399,1.0,0.99889,0.9995,0.97398,0.97569,0.98411,0.99295,0.99944,0.98477,0.98711,0.93041,0.8182,0.9571,0.99614,0.60767,0.99846,0.80046,0.99784,0.99862,0.99543,0.99816,0.99904,0.96633,0.87437,0.99604,0.99977,0.99037
33188571a_metr,0.99723,0.97886,0.97322,0.99583,0.99938,1.0,0.99948,0.97826,0.97959,0.98711,0.99109,0.99902,0.98799,0.99411,0.93045,0.80638,0.96256,0.99765,0.69122,0.99807,0.8413,0.99895,0.99943,0.99577,0.99816,0.99858,0.96916,0.87857,0.99752,0.99936,0.98038
33188571b_metr,0.99424,0.96981,0.96328,0.99191,0.99842,0.99783,1.0,0.9691,0.97174,0.98109,0.99344,0.99968,0.98109,0.98892,0.93159,0.83362,0.95131,0.99421,0.63132,0.99801,0.80358,0.99625,0.99744,0.99556,0.99725,0.99939,0.97247,0.87603,0.99425,0.99985,0.99326
33188590a_metr,0.98729,0.95716,0.94958,0.98409,0.99715,0.99671,0.99735,1.0,0.9596,0.97077,0.99345,0.99654,0.97055,0.96838,0.93304,0.77215,0.93601,0.98716,0.71735,0.99522,0.82921,0.99013,0.99185,0.99444,0.99365,0.9963,0.97514,0.90015,0.98721,0.9972,0.98725
33188602a_metr,0.97412,0.9319,0.92245,0.96902,0.99392,0.99493,0.99241,0.93085,1.0,0.95126,0.99911,0.99093,0.94944,0.98361,0.92293,0.84244,0.90611,0.97316,0.88335,0.98846,0.84476,0.97772,0.98086,0.99058,0.98518,0.99096,0.95738,0.841,0.97352,0.99175,0.97818
33188602b_metr,0.97059,0.98916,0.98966,0.97142,0.96922,0.97351,0.96377,0.86908,0.95883,1.0,0.9742,0.96507,0.93156,0.95554,0.9011,0.86459,0.9396,0.97211,0.84959,0.91304,0.85302,0.91686,0.9761,0.94704,0.98092,0.96762,0.94033,0.97718,0.97529,0.97013,0.98193
