,14711940a_metr,23567403a_metr,28325075a_metr,28325089a_metr,28325090a_metr,29946646a_metr,29946686a_metr,29946686b_metr,33188530a_metr,33188571a_metr,33188571b_metr,33188574a_metr,33188575a_metr,33188582a_metr,33188583a_metr,33188590a_metr,33188593a_metr,33188593b_metr,33188593c_metr,33188602a_metr,33188602b_metr,33188608a_metr,33188608b_metr,33188617a_metr,33188624a_metr,33188624b_metr,33188624c_metr,33188624d_metr,33188624e_metr,33188627a_metr,33188627b_metr,33188633a_metr,33188637a_metr,33188637b_metr,33188640a_metr,33188640b_metr,33188644a_metr,33188653a_metr,33188653b_metr,33188658a_metr,33188658b_metr,33188661a_metr,33188669a_metr,33188670a_metr,33188670b_metr,33188685a_metr,33188685b_metr,33188685c_metr,33188685d_metr,33188686a_metr,33188694a_metr,33188696a_metr,33188698a_metr,33188700a_metr,33188720a_metr,33188723a_metr,33188723b_metr,33188724a_metr,33188726a_metr,33188729a_metr,33188732a_metr,33188732b_metr,33188732c_metr,33188747a_metr,33188757a_metr,33188758a_metr,33188760a_metr,33188760b_metr,33188762a_metr,33188763a_metr,33188784a_metr,33188792a_metr,33188792b_metr,33188792c_metr,33188792d_metr,33188793a_metr,33188795a_metr,33188795b_metr,33188804a_metr,33188804b_metr,33188818a_metr,33188819a_metr,33188823a_metr,33188850a_metr,33188850b_metr,33188851a_metr,33188856a_metr,33188870a_metr,33188873a_metr,33188880a_metr,33188881a_metr,33188898a_metr,33188899a_metr,33188899b_metr,33188899c_metr,33188909a_metr,33188910a_metr,33188914a_metr,33188914b_metr,33188931a_metr,33188932a_metr,33188938a_metr,33188938b_metr,33188939a_metr,33188943a_metr,33188943b_metr,33188945a_metr,33188967a_metr,33188969a_metr,33188969b_metr,33707230a_metr,33707230b_metr,33707241a_metr,33707241b_metr,33707243a_metr
14711940a_metr,1.0000000000000002,-0.06322662042088016,0.4244885969868656,0.4191143496883435,0.1595283444084413,0.01516209830761479,0.06273794757404608,0.033074088050659596,-0.1568169358920813,-0.14531037066758432,-0.15736134052111342,0.12119072957955054,-0.19664651310795056,0.10216107900938881,-0.1634703786623356,0.05207709603575323,-0.1602593779950165,0.07329489340382367,-0.06381432940076885,0.1999054699326327,-0.050258208041391174,-0.00278245819376883,-0.10207337925413135,0.41297297229436636,-0.22161459405536973,-0.535156082240725,-0.5965896262091658,-0.5893646480527721,-0.31236241417796906,-0.41774128094319085,0.2161972745877355,-0.024829715239094323,0.23450116531378012,-0.3905553569239576,-0.3275801762202346,0.5856967377730006,-0.3909631039860377,0.1261709754120777,-0.4547506861526156,0.14463630383062143,-0.2156221711097818,-0.04329148774763018,-0.23559396816891015,0.32279765405755984,-0.10622637252581606,0.20093547200250084,-0.17544355571025708,-0.060621747614912534,-0.02818546923572406,0.17501875876318185,0.10487657151761726,0.17771277396555174,0.21752506017754691,0.16192740853471027,-0.003070679161935741,-0.323704137972489,0.17510975879363003,0.026437033172238153,0.07798425572482535,-0.05782946350773461,0.3333343729165711,-0.0016904143352177664,0.19449955194493393,0.33363218280230944,-0.00509862233962798,-0.13085344655234507,-0.023206299381864855,-0.186487824127205,0.3435619945572482,0.07874501560623459,0.12448976145042774,-0.29981918201829405,-0.25739059809485965,-0.5920317814386032,-0.5864484962230503,0.05908884550791833,-0.28553407260851327,-0.7473726775049946,-0.12128685334242661,-0.29009476281371627,0.010075846803023172,0.26037141511580597,0.12327240584038943,0.18011568183010596,0.39406345411214805,-0.10159006995582472,0.09282988089336135,0.2949141222012904,0.1317021744536412,-0.12219045803883385,0.08755926363188625,0.12557310606140365,0.6247953332588242,-0.2985783939326284,-0.4410580477606823,-0.6934105574267808,0.2256819650044259,0.35116126244215884,0.009486528806068983,0.2894643529659415,0.37467739723326815,0.17614726356136634,-0.03152037741382064,0.0028054825408675497,-0.032576077389162184,0.016520610052489126,0.12102188277102083,0.4125455347279274,-0.13416026806063522,0.7526739225032237,0.5610888564009721,0.2031105210455432,-0.2911362666920011,0.1033570223042628,0.008571522383611736
23567403a_metr,-0.06322662042088016,0.9999999999999999,-0.3738381816515485,-0.36980539271126267,-0.22725598875258582,-0.19524865473560318,0.0049966016267933,-0.04359145363474672,0.5034035509540818,0.5478278634058674,0.41863146810455537,0.2856826986514817,-0.00896217012022733,0.25749425865064646,1.3656767998949073e-05,-0.15297235466837653,0.027437065006828115,-0.1673444299792192,-0.12394875657141358,-0.15845458571710844,0.1217287774133769,0.2893706650603338,0.22774696708652437,0.3316401165157567,-0.32629661992637066,-0.33571822009417024,-0.22511965798817046,-0.18584346016198833,-0.1701160672553663,0.20466954676115875,-0.6538292090956469,0.02216044896262817,-0.013332633965068277,0.1399000863757157,2.755453563040174e-05,0.2263209323788585,0.028973342448063686,-0.2911484089484596,0.5096178646730435,-0.20335344887247284,0.33681583341735566,-0.6161856987699316,0.10901289230753992,0.29670961166766574,-0.08079936190185949,0.026576781755254318,0.010968719589424865,-0.0012274730228443603,-0.031249925925789318,0.3788126813011282,-0.12584918325058542,0.2860247076935086,0.19660263758947563,-0.08015292494071807,-0.24979715060668536,-0.20335244552361792,-0.21224042263150558,-0.2805325365859632,-0.13417223442947335,-0.045478549759941464,-0.3139716423701167,-0.5214809219598787,-0.3265802349100696,-0.0370826624488265,-0.07457841330885127,0.07396310845895633,0.07579376942623187,-0.03975713323712078,-0.021741850464337055,-0.19649184159928204,0.054963151197092656,0.4843675340374939,0.66483328016795,0.46092637333428704,-0.07190220513682719,-0.2061222984535169,0.7320255782912866,0.24481762248517278,0.02161522598822139,-0.06978885641601683,0.2562561987685568,-0.18847848206529566,-0.12356030963869762,0.3222909151998893,-0.6170141273428277,0.14218773419248001,0.1505740739655989,-0.18121478535899985,-0.06578475552699571,0.075708225027423,-0.25092561482580716,0.1482078323988769,-0.3736740415795671,0.060084970950009454,-0.15612680892638314,0.40614805700079326,0.8451167801271556,0.4905963476907016,0.7788232747919454,0.38869345886353435,-0.5659740545145424,-0.15550368543815835,-0.2543692965670236,-0.01290158092094077,-0.07012860054952867,0.024697326052220026,-0.08117516826466363,-0.16405964019181063,-0.1196325200076209,0.017554552909056494,-0.3555769402522984,0.042931924836090055,0.04894015416394317,0.10211353813219946,0.17390516466350053
28325075a_metr,0.4244885969868656,-0.3738381816515485,1.0000000000000002,0.9958776313294758,0.41267263166652784,0.18701303132888333,0.06462305792633664,-0.011523048418231903,-0.13438860745024966,-0.0935706735751832,-0.17362488915447763,-0.40766132745039213,-0.4492526602277878,0.06575347141710632,-0.0640164698995487,0.5772724894911897,-0.07044994267095446,0.024349030026794786,-0.020580835304435992,-0.01503676438192069,-0.45914265995663595,-0.4262871404938982,0.1267063387715461,0.18694427614156967,0.1983223400715986,-0.07158858527778696,0.03166635640307997,0.08458922156944312,0.07557814864311546,-0.07910165197320103,0.4551749095192847,0.22836479452201003,0.3260018788290727,0.1035185723501878,0.2520666127518886,0.04327560531922284,-0.37757340200303574,-0.12751598112203022,-0.6519488546922367,-0.0756575255910216,-0.7310966420450457,0.5517498139686909,-0.41995780224336593,0.407208216416806,0.32560285090580865,0.4764767251994498,-0.5832502849395167,-0.08987602659933007,0.03090951401896504,-0.24813446704711695,0.4706502645732789,0.3469933295379785,-0.11127529188452161,0.5054980891058921,0.40567837020624303,0.21390222456095062,0.4401947510368275,0.19724167816834304,0.20071395108959256,0.2411435022938211,0.1924786093747702,0.5169114917417723,0.5816674306586798,0.4035763105433058,0.0242616483923227,-0.07838085782022612,0.18239274696685118,-0.4678893459556436,0.41817962558062755,0.2985356589983395,-0.17934291923475318,-0.014327700869118666,-0.021251196040922418,-0.1487700629522816,-0.1846853517918925,-0.4406197880191793,-0.03140075487161233,-0.22607613638673196,-0.22438655589076456,-0.16289344769694394,0.34660935710418356,-0.026168844006044294,0.2577374464067821,-0.48014444795498795,0.08786688424496449,-0.13083684562513082,0.01748086889200795,-0.23629070811162417,0.527342247279224,-0.497044387270002,0.30208494415870285,-0.2064670459701185,0.3717524216545411,0.06539878190594106,0.014163512979862162,-0.3288352255692803,-0.5196452910812432,-0.03043164314788072,-0.6730544714481189,0.20697650967602554,0.7250339572458092,0.18952335832646533,-0.42953225875712675,-0.38629819992918957,-0.41566186850071657,-0.2914013413369693,0.11598848167919211,0.27534510516038385,-0.06588795066125305,0.41259637557146744,0.3721783620959612,-0.3966609518921069,-0.03934155668780501,0.035087844311180644,0.07502689206408522
28325089a_metr,0.4191143496883435,-0.36980539271126267,0.9958776313294758,1.0,0.4655736289741053,0.18774978132482067,0.06191431714057599,-0.0072232824895665515,-0.13199583592994393,-0.09552564695757139,-0.16592689593060161,-0.42616089065248125,-0.41369538859752164,0.07425919962839536,-0.05720653548945797,0.5703142759729988,-0.06446522207202847,0.035255186038832154,-0.010523874398125998,-0.023878633657441715,-0.4324281404686758,-0.3965842167955697,0.1322793336373465,0.1668137943769364,0.20033298433299865,-0.07795759864586176,0.022584698858449416,0.07715186476112965,0.08596593435576455,-0.08788825275512747,0.46348171630389395,0.21902422735357327,0.31422412680325057,0.09720425942716025,0.24192389221102648,0.04182783369936244,-0.3664013185476051,-0.11366353111338635,-0.6475278679181531,-0.07925176027728013,-0.7192631201566148,0.54270555752821,-0.43764801540081216,0.4249349124317713,0.3160997732940771,0.43986778419447786,-0.5540681091511712,-0.07439019381412264,0.050553108329246026,-0.22432330985593393,0.4624406407195319,0.38366646566203866,-0.07949292182225606,0.4672212872945784,0.39565084132740413,0.20871348459553074,0.42884243375474723,0.19798116604272756,0.18936062800143472,0.20781683057347014,0.2146078008745251,0.5266945912523368,0.5825205719511586,0.37327148203833327,0.02837062345621518,-0.04006226490889715,0.21364745157642862,-0.43760929207293126,0.38432278100270323,0.26838489727726583,-0.20828489504823888,-0.020088849071849,-0.0319735534703074,-0.15201993238826367,-0.17384872542007584,-0.45373118373326404,-0.04053966788156604,-0.2225641963985022,-0.2040653734279624,-0.16464668022167028,0.326692394643702,-0.029434318393945325,0.25258086281940856,-0.47330399510770493,0.08940642648037773,-0.11496406335636947,0.002110819531451804,-0.2161246019303748,0.5186799511858458,-0.5310695111089218,0.346944796774508,-0.19065858430867946,0.3826066995260338,0.10479859404010093,0.015679895728187416,-0.3392173065301102,-0.5235200556080327,-0.04689176696240181,-0.6709449107432601,0.23122291520635166,0.7236767718900918,0.21622024522844274,-0.4102403639637898,-0.4107579899187114,-0.4386285321354189,-0.3100107844267898,0.11533491027647816,0.26511596793673436,-0.07769683377852322,0.41302175302041294,0.37056469404919345,-0.38956493366126194,-0.038715826837759426,0.0051475523330248105,0.07243094619512146
28325090a_metr,0.1595283444084413,-0.22725598875258582,0.41267263166652784,0.4655736289741053,1.0,0.30556455717935627,0.08234290343306228,-0.02982587449919085,-0.05874718899060695,-0.02014300046936052,-0.09394915541008667,-0.4058831684484305,0.3058457215879632,-0.18242153543186643,-0.009150031221665873,0.15104443175202692,-0.007808471602101365,-0.02038150539411119,-0.01640891740586851,0.06958157589519123,-0.07696378326757215,0.04642370203306349,0.36474191853738447,0.15376681010338997,0.21734287507834113,0.04289609221043739,0.11037299738521207,0.08207891753896551,0.2941537765571578,0.15635949718506292,-0.19836596158089922,0.01408345823269927,-0.010042596225292313,-0.015720431299056786,-0.052286795297739455,0.23335709525798742,0.796394815277392,0.7810981931302223,0.5322103035190099,0.6043493986883176,0.5754058225516313,-0.2563441628598554,-0.2536226289943818,0.08384025978533226,0.028794624887195846,-0.04756292013637247,0.152798991567281,-0.06392963833278109,0.02258625137727097,0.13805970142970925,-0.10212645138521736,0.2683883480164873,0.06440737058269645,-0.33087169692420954,-0.7085596451721312,-0.7663990891872215,-0.5189187633760151,-0.25313108755349906,0.3632354640734916,0.06944843638901922,-0.09985236001524758,-0.19759669697983073,-0.3227802358972953,-0.3430668059142058,0.44265274241267843,0.4111296022850675,0.398029165594347,0.2750898968459501,-0.46988339146644625,-0.08316410452033321,-0.5302881726851205,-0.0839409831692825,-0.08215023895180351,-0.43033994363487166,-0.10778491591193054,-0.3267397233465917,-0.08857283064265678,-0.3697267901320111,-0.20548619235382976,0.13857003564349232,0.06344852938862323,-0.18793608961672795,0.44939107265768813,0.5273118974609986,0.14174352224350945,0.1608750888827998,-0.3165963574575913,0.3814149374387149,-0.13645634611345925,-0.6785889683519895,0.3033288542741362,-0.019687278077842027,0.10240929100785226,0.31601242532354573,0.15435599517054818,-0.042099285220981456,0.420506521968923,0.2696385705440662,0.3678373997183346,0.26914960886258493,-0.4815181453565678,-0.3518670098726669,0.535632537072628,-0.4020795429081201,-0.5685395321244058,-0.20122595868477758,0.06639673369832529,0.14355853677857083,0.3270221933111863,-0.19660004533768455,-0.4824363113447769,0.4212450363783095,0.2521610600071534,-0.4983732766403371,0.3317061907737964
29946646a_metr,0.01516209830761479,-0.19524865473560318,0.18701303132888333,0.18774978132482067,0.30556455717935627,1.0,0.023382588726193625,-0.13870431888778734,-0.2668883984416338,-0.2628695662631786,-0.25155393039355295,0.1262592276278874,0.0020339509490615503,-0.10234503143359559,-0.015463861695325362,-0.24145185301593033,-0.0629859790946186,0.22657535192112713,0.07900918885287458,-0.10420270009510325,-0.08913893829352769,-0.3246457780401942,0.1525023816377769,0.14689951842799528,0.1383210212317753,0.28556613323353675,0.048408782236548084,-0.023033347781119887,-0.06495072065841667,-0.06748341945611899,0.041398181088950416,-0.2949726469514331,-0.20174111480280552,-0.39885374782136135,-0.2986248741466009,-0.19049710350073298,0.07878328371740968,0.2651306896032919,-0.1934786482911693,0.26284796728030013,-0.032388090038252826,0.27738580054328554,-0.10006069917973891,-0.39575576478154384,-0.18266612974491686,-0.2035082708661697,0.22404336192742935,0.12573631435440305,0.12481990270185385,0.05180002169379676,-0.12641299389950159,-0.5672059914433073,-0.38146570428667487,0.06261027762175828,0.2576214783269888,-0.18293868318572482,0.44309523439111664,0.055974668507032,0.5169893597690813,0.07772831206017664,-0.5058879132065204,-0.0906247206858311,-0.17946961931709024,-0.18336237261267602,0.3951244230829588,-0.11440543180640757,-0.09339418885473975,-0.07762590589828303,-0.2925927841537926,0.23609780315427056,-0.27224254408948195,-0.4556018858003518,0.04717557559826114,-0.24695206627603786,-0.6259066694536717,-0.009699777367695547,-0.16435345802688428,-0.5449696759539222,-0.21754139194688263,0.2706233558634874,-0.037013152734067405,0.18350968159658262,0.5206152093710067,0.6379344268695071,0.23490550267875565,-0.1736571609637997,-0.12856830294468238,-0.2307202481370009,-0.16471131564461597,-0.4120578172293486,-0.04647060510843097,0.5242572599869473,-0.7012338321282449,-0.353302362688268,0.10733383170006845,-0.24004165413255027,0.01746225468496676,0.3494788783031884,-0.23760524981619285,-0.40942059841994527,0.023213834094794862,-0.1258235488718262,0.02333637482524412,-0.10890312855318092,-0.25156716393427203,0.007806239092455461,0.37238943580520073,0.6423116992535798,0.775870898002733,-0.12000401424564737,0.3485533937242712,0.24210268618570588,0.08436458260636638,-0.012449264607408384,0.2596890818591483
29946686a_metr,0.06273794757404608,0.0049966016267933,0.06462305792633664,0.06191431714057599,0.08234290343306228,0.023382588726193625,1.0,0.11604768015703473,0.0950854172823168,0.10196340158663272,0.09144912258594418,0.1575281297244326,-0.1978720852286283,-0.03843626814724934,0.09133863903207681,0.04743012005191558,0.09633116335239891,0.11281770237712635,0.028050834882657003,0.01858120811388028,-0.12757871828574688,0.0642561198992862,0.02861648705709333,-0.12127055375185768,0.04581440530211244,-0.08159515428553289,-0.05576808632232589,-0.025273065677054327,0.09195328879348032,0.10100900409068393,0.02640597759867114,-0.25768408351941724,-0.2344483726419963,-0.36386909947108736,-0.21333172386305552,-0.4486999795711277,0.08090938782429141,-0.03474410255376508,0.3890834671299688,-0.3055611032033626,-0.40627525504673473,0.17907928045648064,-0.1955247388876896,-0.20482340950521993,-0.07159592668830186,0.07648701896465271,0.18749045614336768,-0.09442957573516832,-0.09559105249452704,0.06447504907215246,-0.15006665218815057,-0.3349711782484655,-0.212695572416222,0.3543500500261638,0.0728825475125826,0.13253117612850587,0.06843728919906647,0.17488139532700078,0.02813237274723553,0.09459829364977977,-0.03970854297784289,0.09812046484741922,0.30754204079716435,0.24235192515065582,-0.08434530281779468,-0.1490150650507103,-0.07200679559171169,-0.10721536741697842,0.1932373430689104,-0.055192353429285274,0.2540865390721199,0.11890752680139764,0.19338416673208927,0.25538077994820546,0.1515472778406258,0.21369100772511423,0.17720505328964817,0.30406990808513007,0.13222355642112052,0.1308376192670194,0.11094229419817557,-0.04303083403702344,0.05236026453074435,0.12116633773026456,-0.018248464854493003,-0.02827437444970997,0.12208268695055162,0.4173209104877562,-0.15575107382207268,0.03235536592332545,-0.03137465655239876,-0.19136639243494882,-0.1305132709967962,-0.09780110131351742,0.2342936583806484,0.08386673790251035,0.4185028937251726,0.473067743361619,0.06483018074030794,-0.005285404131099764,0.1420498692281479,-0.10711287350302932,-0.08381058886353245,0.0075316177442702765,0.11731098946790032,-0.041188208817328514,-0.08230012637774327,0.0005541797559466932,0.030712595411541223,0.027196593954910062,-0.4884722191575954,-0.3837554605723215,-0.1109575563430834,0.060008698897526636,0.013275596165757856
29946686b_metr,0.033074088050659596,-0.04359145363474672,-0.011523048418231903,-0.0072232824895665515,-0.02982587449919085,-0.13870431888778734,0.11604768015703473,1.0,0.09454520543599429,0.07155896773180902,0.12208076998164487,0.019979236698286044,0.013818554873623469,-0.03850858183531017,0.6641479457534052,-0.02344878913051027,0.6374543171925373,0.00791266780659609,0.7008941255432012,-0.002388673076758122,-0.011996694911380622,-0.030350668074853725,-0.05552693511297644,-0.03969429842127367,0.004665032847067897,-0.017253509197617263,-0.032668995552888144,0.03081376635980235,-0.0009855523636984444,-0.6423309687945092,0.07353079512759333,0.06785646969141362,0.04973284536147579,0.12620150556153162,0.06978641907318159,0.0817357490057655,-0.005696167724413314,0.007541212438688295,0.014660556571489647,0.16650959974809035,0.12422524123930491,0.019783639460673404,0.010735472119484455,0.008782501285208246,0.0609087713100952,0.011335040851603126,-0.00606702794827082,0.10859904518872406,0.007569129557112316,-0.2196511947508284,-0.004776051417245082,0.0037480284008167527,0.007172712259770709,-0.03575235742828582,-0.028537911140829913,-0.04127923331476254,-0.01299101345974433,0.03061730994371263,-0.014301492810285013,0.03433431195040393,0.06167896467882347,0.0018359484578272592,0.014755583241570997,0.00023285069396061507,-0.016990485764829734,-0.003909255545729552,-0.0315524741494286,0.044916276951919326,0.0033713846597638194,-0.34027657014753426,0.10146799506224802,0.077036524254771,0.06388129073259308,0.14185067446167693,0.11102717851999237,0.05486412264681383,0.0586238554030677,0.1825421014734191,-0.002993175020340832,0.027362575929340865,-0.14709640392219445,0.026732904617419746,-0.011804390332136287,-0.23497514995951374,-0.17213387410530778,0.031165510651762478,0.042729385786021284,0.0012353956385474417,-0.011481992083109188,0.0032627809532083203,-0.005783745918998139,-0.048491889212231076,0.14632227322162786,0.04344109033922691,0.014899510480863883,-0.016663321952933574,-0.016176149378437272,0.012225355916941436,-0.1025179580531636,-0.031912630313743556,-0.08689069887994023,0.04115506903794419,0.0283847737379689,-0.006701734398956957,0.03091161859746644,-0.020421890594599302,0.022466082839614453,-0.30262828239440737,-0.14054963500015202,-0.22844676506161946,-0.07329130318954678,-0.05999998378602794,-0.003959665119939193,-0.002331928134771884,-0.08699433691943291
33188530a_metr,-0.1568169358920813,0.5034035509540818,-0.13438860745024966,-0.13199583592994393,-0.05874718899060695,-0.2668883984416338,0.0950854172823168,0.09454520543599429,1.0,0.9807037030447917,0.9709138042222635,0.630439229065015,-0.031423240301294605,0.5640190301555998,0.0412375347979265,-0.22388695519997687,0.010969732677878461,-0.041708403416969186,0.10906389058653898,-0.5238465642612071,-0.28845685709853963,0.09249057572063099,-0.29158300488064426,-0.031170508949028862,-0.6517400681350901,-0.16630253586245258,-0.43712446885116946,-0.4711395559779549,-0.6172872521128615,-0.04698570206395081,-0.22568773736567782,0.1077372185583818,0.05744376808104546,0.2777350650087488,0.13314627008165444,0.08472465504371895,-0.08120488359420489,-0.29483780104272195,0.1764986526982482,-0.24733312061447268,0.07119218261517178,-0.17185043253360438,-0.2863556086325481,0.5001749960525883,-0.21282488464638422,0.09546853904203463,-0.11823760188546883,0.05386246000399384,-0.05897759795385214,-0.09176043919979819,-0.08017581741617098,0.5258650413861036,0.22507090790983653,-0.0075901728214105586,0.05081373774144549,0.07235833775825952,0.015748510969915776,-0.24588168736779073,-0.38995629754162614,0.06023972196832527,0.013511979073901224,0.18891592014269926,-0.1867931940843089,0.021068436476987563,-0.3389555335895047,-0.1641389771475715,-0.18958509042227215,-0.027859436560952296,0.043478531813940756,0.13952265168193487,0.4251000899343176,0.5863480849237958,0.8352939895910279,0.8190897897251526,0.3415726618483164,-0.3813945633319621,0.8891637800306227,0.7267487730933532,0.04692013713131897,0.05194495120516038,0.2368307930666739,0.12703649840889486,-0.3708975424700316,-0.12463863759345514,-0.9219526738777263,0.305818982142441,0.2291621652409446,-0.3340428812868494,0.05912298319234647,-0.07532781301066951,0.2216650337139259,0.24945610295386236,-0.2652410657950232,-0.10336596045472864,-0.1683291342945235,0.6083035622742631,0.20640993650111908,-0.05713545119727617,0.33767807428753016,0.5384324327317472,-0.10429910961309871,0.21911790694349395,-0.4283275614297669,0.05855907046573618,-0.1358628383339779,0.1051418875775048,0.09897128882579198,-0.46543318404146267,-0.3353256408912729,-0.1786815342005919,0.013164924719829317,-0.29533214496812377,-0.07366246449405311,0.2412077472471638,-0.13820939405298116
33188571a_metr,-0.14531037066758432,0.5478278634058674,-0.0935706735751832,-0.09552564695757139,-0.02014300046936052,-0.2628695662631786,0.10196340158663272,0.07155896773180902,0.9807037030447917,1.0,0.9058282466215637,0.5684665416121057,-0.0020188094235728607,0.5904897726862145,0.02240002548145399,-0.21526895556833697,-0.001960351673894596,-0.033300828760099,0.061877090949052346,-0.4802422443544261,-0.3395383667113928,0.061278509988071564,-0.2641493273228619,0.030607846559860832,-0.7024058691724838,-0.24308792278724703,-0.5211955468227071,-0.5504861679739697,-0.6428213012890632,-0.009035258848188416,-0.2682337933255941,0.10457908978323388,0.06203260456324123,0.26750101696075373,0.12069984045907561,0.1277917710755319,-0.051514310102910535,-0.2506224573771568,0.17232699149973008,-0.18928998765369498,0.07491718989255289,-0.1498137708376632,-0.26475858013573406,0.4832445456775917,-0.24325687216551498,0.08392554484060476,-0.09314094819993034,0.06417710604134269,-0.055081159332542644,-0.1412226161024931,-0.10924762691817824,0.5119970107473042,0.22939357890270395,-0.016046257959723042,0.02080844239492629,0.06107624119009547,-0.02490597856565854,-0.2851181671571949,-0.35013626641115925,0.09969112231805145,-0.1002404678867347,0.09540953072201365,-0.23566198555298046,-0.03045104175131975,-0.3028862284248497,-0.13677324928220658,-0.18082564818608776,0.011647792224043711,-0.006069837374891649,0.08035991764620459,0.337308379867173,0.6161290900652066,0.796472178152703,0.7254616403731353,0.3713181165867107,-0.4759517782695304,0.8711304607568814,0.6767690923739061,0.0211674928134155,0.06872605773585806,0.19704026298913116,0.066965915994282,-0.32867447430738145,-0.12539014484776856,-0.9002209809596997,0.31417696916177396,0.28547966514981743,-0.3454609133517229,0.03484265355569193,-0.10488109999536932,0.0730959828473159,0.29149304410600163,-0.21950442082924757,-0.08012274611248563,-0.11713664688061716,0.6307085376348294,0.18997825557782136,-0.07019484583318952,0.32463719188435547,0.5495977211762364,-0.1010267546357354,0.10915040965543925,-0.45317381400516515,0.02925510123112964,-0.19668230670266518,0.07989770791137274,0.055281674116859164,-0.4550124667858921,-0.33768014039382244,-0.15966359255610404,0.05077610442002202,-0.21826907859755676,-0.05328439989782547,0.2140173694833013,0.014772083660548585
