,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,capital
33188574a_metr,6.0,7.0,1.0,4.0,5.0,106.0,15.0,6.0,30.0,5.0,9.0,13.0,7.0,10.0,11.0,16.0,13.0,12.0,9.0,14.0,17.0,13.0,38.0,7.0,45.0,7.0,3.0,8.0,2.0,16.0,3.0,9.0,21.0,6.0,6.0,9.0,2.0,1.0,16.0,15.0,8.0,9.0,4.0,1.0,5.0,5.0,8.0,8.0,2.0,2.0,1.0,2.0,4.0,22.0,21.0,2.0,4.0,4.0,1.0,8.0,6.0,4.0,2.0,2.0,0.0,3.0,6.0,4.0,6.0,2.0,2.0,8.0,1.0,7.0,1.0,1.0,0.0,0.0,,,,,,,,Human
33188943a_metr,,,,,,,,,,,,,,,,,,,,,,,,9.9,10.3,11.6,11.4,10.9,12.4,12.7,12.4,14.0,13.9,15.0,14.4,13.7,13.9,13.1,13.2,14.3,12.3,12.0,11.5,12.0,11.5,10.4,9.7,10.3,10.9,10.1,10.3,8.8,8.2,8.1,8.5,7.6,9.3,7.3,8.0,7.0,7.6,7.1,7.0,6.2,6.2,5.8,6.0,6.0,5.6,5.7,5.2,5.6,5.7,5.3,5.4,5.5,5.1,,,,,,,,,Human
33188608a_metr,,,,,,,,,,,,,,,,,,,,,,,,,1694.0,1773.0,1722.0,1451.0,1372.0,1238.0,1188.0,1302.0,1268.0,1268.0,1246.0,1165.0,1192.0,1159.0,1101.0,908.0,1034.0,952.0,945.0,925.0,954.0,860.0,834.0,723.0,679.0,692.0,616.0,587.0,597.0,583.0,592.0,544.0,513.0,546.0,510.0,409.0,370.0,384.0,357.0,349.0,327.0,320.0,339.0,269.0,243.0,253.0,216.0,230.0,233.0,187.0,227.0,200.0,241.0,236.0,,,,,,,,Human
33188943b_metr,,,,,,,,,,,,,,,,,,,,,,,,27.5,29.9,28.3,30.5,29.4,31.2,34.5,33.6,35.2,35.1,34.9,36.8,33.6,34.6,36.4,35.1,34.3,31.6,33.7,30.8,31.0,29.9,32.3,29.5,28.3,29.6,28.1,27.8,26.2,26.8,24.1,24.8,23.5,24.2,20.0,19.9,20.1,18.9,19.6,17.8,19.3,16.5,17.0,16.6,16.9,15.8,16.6,15.5,15.6,14.3,14.6,13.7,13.9,13.0,,,,,,,,,Human
33188939a_metr,,,,,,,,,,,,,,,,,,,,,,,,18.2,19.5,19.4,20.3,19.5,21.1,23.0,22.3,24.0,23.9,24.4,24.9,23.0,23.7,24.3,23.6,23.7,21.4,22.3,20.7,20.9,20.1,20.7,19.1,18.8,19.6,18.5,18.6,17.1,17.1,15.7,16.3,15.1,16.3,13.3,13.6,13.3,13.0,13.0,12.2,12.5,11.1,11.2,11.1,11.2,10.5,11.0,10.2,10.4,9.9,9.8,9.4,9.6,8.9,,,,,,,,,Human
33188608b_metr,,,,,,,,,,,,,,,,,,,,,,,,,18314.0,18785.0,18892.0,16678.0,15720.0,14534.0,13735.0,14926.0,14505.0,14629.0,14782.0,14363.0,14361.0,14894.0,13656.0,12823.0,12703.0,12396.0,12255.0,11939.0,11182.0,10052.0,7844.0,7149.0,6740.0,6933.0,6177.0,6166.0,6213.0,6299.0,6191.0,6194.0,5931.0,5862.0,5528.0,5059.0,5066.0,5235.0,4780.0,4708.0,4458.0,4437.0,4202.0,4129.0,4043.0,3830.0,3785.0,3654.0,3873.0,3639.0,3793.0,3933.0,4002.0,4096.0,,,,,,,,Human
33188819a_metr,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5872365339578,240.803302225413,68.1945716154349,340.382812500001,39.8579819277109,538.710588935159,1102.54281930547,94.1335227272727,48.8032495903879,96.0426923076924,72.296723300971,91.2910183875531,170.146243701328,82.0210363153233,189.823186813187,1863.83611351819,186.77552105487,20.8011340206185,394.549002347419,157.244179600887,77.2745115452931,1105.73237620358,253.648568019094,99.4106664434026,40.4730897009967,229.212396694215,49.9219679444812,790.582377049176,818.357537120722,90.8963326941516,391.432835820896,81.2006942253076,53.7799780839073,3268.84091120051,80.0086497244337,759.21964285714,24.1729228486648,27.4178347748285,65.2897659952605,124.265625,40.9344689080631,131.572674418605,105.960259469132,155.7592760181,103.250454545455,184.451627486438,215.531277993431,86.7038827729843,42.2112676056339,470.696737187112,45.5359316140249,72.61,,,,,,,,Economic
33188669a_metr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.0,492.0,491.0,475.0,501.0,504.0,501.0,489.0,480.0,471.0,477.0,471.0,475.0,468.0,455.0,469.0,418.0,425.0,414.0,402.0,406.5,409.0,404.0,405.0,391.0,399.0,401.0,380.0,370.0,355.0,345.0,347.0,338.0,325.0,325.0,316.0,309.0,300.0,307.0,299.0,300.0,304.0,294.0,296.0,286.6,287.49,,,,,,,,,Natural
33188685b_metr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1743974566441,18.9419820029365,19.6551467855816,19.774321880651,19.7972991708954,20.3529894650431,20.4389446023489,20.7667266567859,21.0308517508138,21.4982217147657,21.0955388370279,20.5051170028129,20.5482882388715,20.8647216155866,21.2196624058922,21.0427373381023,20.8735725258106,21.2368331634387,21.053189859394,21.5763604447045,22.2389978650373,22.2247745936944,23.0660673837506,22.9832871984341,23.3394503883753,23.4803581383178,23.7319460606475,24.2300660947827,23.8270728381287,23.8637673807273,23.7657763104137,24.9698174845537,24.2257571262295,23.7716779091253,24.9689216100416,24.9251141118296,24.4649816798525,24.6877968128892,24.8902588212718,24.6062474606247,26.7812316402286,26.2813426460982,26.8287902150903,26.3000846960714,,,,,,,,Natural
33188685d_metr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.37945552707328,8.50572039134164,8.32850241545894,7.87703435804702,8.57111166569614,8.57162402517444,8.02810103501904,8.02059072623333,7.4262971309585,7.38874233893723,8.33102684749516,8.56424681309474,7.93813572459188,8.10492479081295,7.815190477986,8.07749118031226,8.21058146873549,7.63676520557255,7.49348827890202,7.28028086600351,7.531346206018,7.70688566013898,7.76063470227577,8.0552692231964,8.02950036356082,8.25947963002992,8.5381157733817,8.67552618009656,9.02503071080006,9.22706205179053,9.79649525744509,9.70456643704282,10.0965378734281,10.6369242414123,10.6825176513186,11.1758273107646,11.864921001657,12.3263094944947,12.4469284463528,13.0016013001601,14.3326390001602,14.9879403045073,14.5140213783551,14.9078115838165,,,,,,,,Natural
