,count,metric_name,metric_description,capital - primary,is_key
33188574a_metr,79,Fatalities caused by natural events [Data],"Floods, debris flows, landslides, rockfall, rockslides and avalanches",Human,False
33188943a_metr,55,Suicide rate by sex [Women],Deaths by suicide per 100 000 inhabitants,Human,False
33188608a_metr,55,Road traffic accidents [Killed ],Number of persons killed or seriously injured in road traffic,Human,False
33188943b_metr,55,Suicide rate by sex [Men],Deaths by suicide per 100 000 inhabitants,Human,False
33188939a_metr,55,Suicide rate [Data],Deaths by suicide per 100 000 inhabitants,Human,False
33188608b_metr,55,Road traffic accidents [Seriously injured],Number of persons killed or seriously injured in road traffic,Human,False
33188819a_metr,53,Damaged caused by natural disasters [Million CHF (at constant prices)],"Floods, debris flows, landslides, rockfall and rockslides",Economic,False
33188669a_metr,47,Drinking water use [Litres per person and per day],"Consumption of households, small enterprises, industry and commerce, public services and fountains, self-consumption of distributors and losses",Natural,False
33188685b_metr,45,Final energy consumption by energy source [Electricity],Shares in percent,Natural,False
33188685d_metr,45,Final energy consumption by energy source [Rest¹],Shares in percent,Natural,False
33188685c_metr,45,Final energy consumption by energy source [Gas],Shares in percent,Natural,False
33707231a_metr,45,Modal split in goods transport [Percentage of tonne-kilometres],Share of rail in total overland goods transport (rail and road),Natural,False
33188685a_metr,45,Final energy consumption by energy source [Petroleum products],Shares in percent,Natural,False
33188670b_metr,45,Energy dependency [Import surplus of energy carriers and nuclear fuels],Domestic energy production from primary energy carriers and imports (import surplus of energy carriers and nuclear fuels) - Thousand terajoules,Economic,False
33188670a_metr,45,Energy dependency [Domestic production],Domestic energy production from primary energy carriers and imports (import surplus of energy carriers and nuclear fuels) - Thousand terajoules,Economic,False
33188856a_metr,44,Total municipal waste generation [Million tonnes],Incl. recycling,Natural,True
33188851a_metr,44,Rate of separately collected municipal waste [In percent],Percentage of separately collected waste in relation to total amount of municipal waste produced,Natural,False
14711940a_metr,42,Nitrogen load exported [Thousand tonnes],Total nitrogen load on the Rhine at Basel,Natural,True
33707243a_metr,35,Official Development Assistance [In percent],In proportion to gross national income (GNI),Economic,True
33188545a_metr,35,Level of public debt [In percent],"Consolidated debt of the Confederation, cantons, communes and social insurances in relation to gross domestic product",Economic,False
33188694a_metr,35,Final energy consumption per capita [Gigajoules per capita],Excluding international air traffic,Human,False
33188760b_metr,35,Youth unemployment by sex [Men],Proportion of unemployed persons based on ILO definition in economically active population of 15–24 year-olds (in 2nd quarter) - In percent,Human,False
33188575a_metr,35,Total social security expenditure [In percent],As a percentage of gross domestic product,Social,False
33188880a_metr,35,Sustainable wood harvest [Data],Annual harvest divided by net annual wood growth,Natural,False
33188898a_metr,35,Populations of breeding birds [Index 1990 = 100],Trend in breeding bird populations from the Red List,Natural,True
33188698a_metr,35,Renewable energies [In percent],In relation to final energy consumption,Natural,True
33188760a_metr,35,Youth unemployment by sex [Women],Proportion of unemployed persons based on ILO definition in economically active population of 15–24 year-olds (in 2nd quarter) - In percent,Human,False
33188758a_metr,35,Youth unemployment [In percent],Proportion of unemployed persons based on ILO definition in economically active population of 15–24 year-olds (in 2nd quarter),Human,False
33188624d_metr,34,Particulate matter concentrations [Rural],Average annual concentrations of PM10¹  (prior to 1997 calculated using total suspended particles TSP) - Micrograms / cubic meter,Human,False
33188624c_metr,34,Particulate matter concentrations [Suburban],Average annual concentrations of PM10¹  (prior to 1997 calculated using total suspended particles TSP) - Micrograms / cubic meter,Human,False
33188700a_metr,34,Per capita gross domestic product [Thousand CHF],"In thousands Swiss francs, at current prices",Economic,False
33188724a_metr,34,Labour productivity [Index 1991=100],Hourly labour productivity growth at previous year’s prices,Human,True
33188624b_metr,34,Particulate matter concentrations [Urban],Average annual concentrations of PM10¹  (prior to 1997 calculated using total suspended particles TSP) - Micrograms / cubic meter,Human,False
33188602b_metr,34,Years of potential life lost [Men],"Standardised rate by age for 100 000 population, all causes of death, standard European population - Standardised rate",Human,True
33188873a_metr,34,Greenhouse gas emissions [Greenhouse gas emissions],CO2 equivalents without the carbon sink effect from the forest - Millions tonnes,Natural,True
33188582a_metr,34,Greenhouse gas emissions from agriculture [Millions t CO2 eq.],"Methane, carbon dioxide and nitrous oxide emissions linked to domestic agricultural production",Natural,False
33188624a_metr,34,"Particulate matter concentrations [Urban, traffic]",Average annual concentrations of PM10¹  (prior to 1997 calculated using total suspended particles TSP) - Micrograms / cubic meter,Human,False
33188624e_metr,34,Particulate matter concentrations [Prealps/Jura],Average annual concentrations of PM10¹  (prior to 1997 calculated using total suspended particles TSP) - Micrograms / cubic meter,Human,False
33188602a_metr,34,Years of potential life lost [Women],"Standardised rate by age for 100 000 population, all causes of death, standard European population - Standardised rate",Human,True
33188590a_metr,34,Nitrogen balance from agriculture [Thousand tonnes],Difference between the quantities of nitrogen entering cultivated land and those extracted from it,Natural,True
23567403a_metr,32,Invasive alien species [Data],Number of invasive alien species known,Natural,False
33188763a_metr,31,Congestion on Swiss motorway network [Hours],Congestion caused by excess traffic,Economic,False
33188513a_metr,30,Investment to gross domestic product ratio [In percent],Gross investments in relation to gross domestic product,Economic,False
33188729a_metr,30,Women's employment rate [In percent],"Percentage of active women in the permanent resident population of this age group (women aged 15 to 64 ), in full-time equivalents",Human,False
33188931a_metr,30,Trust in the Federal Council [Data],Index from 1 (no trust) to 10 (complete trust),Social,False
33188518a_metr,29,Environmental taxes [Data],Ratio between income taxes and environmentally related taxes,Natural,False
33707221a_metr,27,Modal split of passenger transport [Percentage of passenger-kilometres],Share of public transport in motorised passenger transport by road and rail,Natural,False
33707241a_metr,26,Official development assistance for poor countries [Least Developed Countries (LDCs)],Net official development assistance for the least developed countries (LDC) and small island developing states (SIDS) - Million CHF,Economic,False
33707241b_metr,26,Official development assistance for poor countries [Small Island Developing States (SIDS)],Net official development assistance for the least developed countries (LDC) and small island developing states (SIDS) - Million CHF,Economic,False
33188804a_metr,25,Duty-free imports from developing countries [Middle-income countries],Share of duty-free imports in the total value of all imported goods by countries' income categories¹ - In percent,Economic,True
33188804b_metr,25,Duty-free imports from developing countries [Least developed countries],Share of duty-free imports in the total value of all imported goods by countries' income categories¹ - In percent,Economic,True
33188881a_metr,25,Nationally designated protected areas [In percent],Percentage of the national territory protected at federal level for conserving biological diversity or particular species,Natural,False
33188593b_metr,25,Organic farming by surface area categories [Perennial crops],Percentage of the organically farmed area in the utilised agricultural area of the same surface area category - In percent,Natural,False
33188696a_metr,25,Electricity production from renewable energies [GWh],Electricity production from hydropower plants,Natural,False
33188686a_metr,25,Electricity production from renewable energies [GWh],Electricity production from new renewable energies,Natural,False
33188593a_metr,25,Organic farming by surface area categories [Grassland],Percentage of the organically farmed area in the utilised agricultural area of the same surface area category - In percent,Natural,False
33188593c_metr,25,Organic farming by surface area categories [Open crop land],Percentage of the organically farmed area in the utilised agricultural area of the same surface area category - In percent,Natural,False
33188583a_metr,25,Organic farming [In percent],Percentage of the organically farmed area in the utilised agricultural area,Natural,False
33188818a_metr,25,Remittances by migrants [CHF millions],Total of remittances from migrant workers in Switzerland to their countries of origin,Economic,False
