metric_id,metric_name,observable,description,dam_id,desired_trend,slope,slope_norm,capital - primary,is_key
33188686a_metr,Electricity production from renewable energies [GWh],Electricity production from renewable energies,Electricity production from new renewable energies,33188686,up,0.2714088948397506,0.2714088948397506,Natural,False
33188593b_metr,Organic farming by surface area categories [Perennial crops],Organic farming by surface area categories,Percentage of the organically farmed area in the utilised agricultural area of the same surface area category - In percent,33188593,up,0.18351817787683786,0.18351817787683786,Natural,False
33188593c_metr,Organic farming by surface area categories [Open crop land],Organic farming by surface area categories,Percentage of the organically farmed area in the utilised agricultural area of the same surface area category - In percent,33188593,up,0.16760172344704935,0.16760172344704935,Natural,False
29946686b_metr,Proportion of women in National Council and in cantonal parliaments [National Council],Proportion of women in National Council and in cantonal parliaments,Proportion of women in total of elected members - In percent,29946686,up,0.1359102787456451,0.1359102787456451,Social,False
33188850b_metr,Hazardous chemicals [Substances of very high concern],Hazardous chemicals,Number of substances listed in the Chemicals Ordinance (cumulative entries),33188850,up,0.126831501831504,0.126831501831504,Natural,False
33188938a_metr,Direct investments in developing countries [Middle-income developing countries],Direct investments in developing countries,"Switzerland's capital exports, by countries income categories¹ - CHF millions",33188938,up,0.12661914221296455,0.12661914221296455,Economic,False
33188909a_metr,Biodiversity related expenditure [CHF millions],Biodiversity related expenditure,Direct federal biodiversity related expenditure,33188909,up,0.10892072641799361,0.10892072641799361,Natural,False
33188938b_metr,Direct investments in developing countries [Least developed countries],Direct investments in developing countries,"Switzerland's capital exports, by countries income categories¹ - CHF millions",33188938,up,0.10432861315249739,0.10432861315249739,Economic,False
29946686a_metr,Proportion of women in National Council and in cantonal parliaments [Cantonal parliaments],Proportion of women in National Council and in cantonal parliaments,Proportion of women in total of elected members - In percent,29946686,up,0.09250866730884996,0.09250866730884996,Social,False
33188818a_metr,Remittances by migrants [CHF millions],Remittances by migrants,Total of remittances from migrant workers in Switzerland to their countries of origin,33188818,up,0.07965816964742402,0.07965816964742402,Economic,False
33707241b_metr,Official development assistance for poor countries [Small Island Developing States (SIDS)],Official development assistance for poor countries,Net official development assistance for the least developed countries (LDC) and small island developing states (SIDS) - Million CHF,33707241,up,0.07886648459833986,0.07886648459833986,Economic,False
33707241a_metr,Official development assistance for poor countries [Least Developed Countries (LDCs)],Official development assistance for poor countries,Net official development assistance for the least developed countries (LDC) and small island developing states (SIDS) - Million CHF,33707241,up,0.07593548379679929,0.07593548379679929,Economic,False
33188583a_metr,Organic farming [In percent],Organic farming,Percentage of the organically farmed area in the utilised agricultural area,33188583,up,0.051288241861538186,0.051288241861538186,Natural,False
33188627a_metr,Teaching staff at higher education institutions [Professors (UNI)],Teaching staff at higher education institutions,"Professors and lecturers with management responsibility, share of women - In percent",33188627,up,0.050875807311456786,0.050875807311456786,Human,False
33188851a_metr,Rate of separately collected municipal waste [In percent],Rate of separately collected municipal waste,Percentage of separately collected waste in relation to total amount of municipal waste produced,33188851,up,0.046882427734194425,0.046882427734194425,Natural,False
33188593a_metr,Organic farming by surface area categories [Grassland],Organic farming by surface area categories,Percentage of the organically farmed area in the utilised agricultural area of the same surface area category - In percent,33188593,up,0.04000992905820354,0.04000992905820354,Natural,False
33188617a_metr,Foregoing necessary medical care for financial reasons [In percent],Foregoing necessary medical care for financial reasons,Percentage of the population at risk of poverty aged 16 and over,33188617,down,-0.03726628505831428,0.03726628505831428,Human,False
33188819a_metr,Damaged caused by natural disasters [Million CHF (at constant prices)],Damaged caused by natural disasters,"Floods, debris flows, landslides, rockfall and rockslides",33188819,down,-0.03624785758481324,0.03624785758481324,Economic,False
33188574a_metr,Fatalities caused by natural events [Data],Fatalities caused by natural events,"Floods, debris flows, landslides, rockfall, rockslides and avalanches",33188574,down,-0.0360889722385517,0.0360889722385517,Human,False
33707243a_metr,Official Development Assistance [In percent],Official Development Assistance,In proportion to gross national income (GNI),33707243,up,0.023561013534076008,0.023561013534076008,Economic,True
33188969b_metr,NEET rate by sex [Women],NEET rate by sex,Percentage of not employed young people aged 15 to 29 who are not in education or training - In percent,33188969,down,-0.0229268506735502,0.0229268506735502,Human,True
33188698a_metr,Renewable energies [In percent],Renewable energies,In relation to final energy consumption,33188698,up,0.021937851732358373,0.021937851732358373,Natural,True
33188602b_metr,Years of potential life lost [Men],Years of potential life lost,"Standardised rate by age for 100 000 population, all causes of death, standard European population - Standardised rate",33188602,down,-0.020627654920804785,0.020627654920804785,Human,True
33188624b_metr,Particulate matter concentrations [Urban],Particulate matter concentrations,Average annual concentrations of PM10¹  (prior to 1997 calculated using total suspended particles TSP) - Micrograms / cubic meter,33188624,down,-0.020204833152790768,0.020204833152790768,Human,False
33188670a_metr,Energy dependency [Domestic production],Energy dependency,Domestic energy production from primary energy carriers and imports (import surplus of energy carriers and nuclear fuels) - Thousand terajoules,33188670,up,0.019760122264576425,0.019760122264576425,Economic,False
33188700a_metr,Per capita gross domestic product [Thousand CHF],Per capita gross domestic product,"In thousands Swiss francs, at current prices",33188700,up,0.018985708513640884,0.018985708513640884,Economic,False
33188624a_metr,"Particulate matter concentrations [Urban, traffic]",Particulate matter concentrations,Average annual concentrations of PM10¹  (prior to 1997 calculated using total suspended particles TSP) - Micrograms / cubic meter,33188624,down,-0.0186986345057508,0.0186986345057508,Human,False
33188624d_metr,Particulate matter concentrations [Rural],Particulate matter concentrations,Average annual concentrations of PM10¹  (prior to 1997 calculated using total suspended particles TSP) - Micrograms / cubic meter,33188624,down,-0.018516877240310353,0.018516877240310353,Human,False
33188793a_metr,Distribution of equivalised primary income (S80/S20) [Data],Distribution of equivalised primary income (S80/S20),People living in working households,33188793,up,0.018220956791483087,0.018220956791483087,Economic,False
33188602a_metr,Years of potential life lost [Women],Years of potential life lost,"Standardised rate by age for 100 000 population, all causes of death, standard European population - Standardised rate",33188602,down,-0.018010216945652788,0.018010216945652788,Human,True
33188624c_metr,Particulate matter concentrations [Suburban],Particulate matter concentrations,Average annual concentrations of PM10¹  (prior to 1997 calculated using total suspended particles TSP) - Micrograms / cubic meter,33188624,down,-0.017867932960726467,0.017867932960726467,Human,False
33188943a_metr,Suicide rate by sex [Women],Suicide rate by sex,Deaths by suicide per 100 000 inhabitants,33188943,down,-0.017565370753776635,0.017565370753776635,Human,False
33188624e_metr,Particulate matter concentrations [Prealps/Jura],Particulate matter concentrations,Average annual concentrations of PM10¹  (prior to 1997 calculated using total suspended particles TSP) - Micrograms / cubic meter,33188624,down,-0.0172037303290972,0.0172037303290972,Human,False
33188804a_metr,Duty-free imports from developing countries [Middle-income countries],Duty-free imports from developing countries,Share of duty-free imports in the total value of all imported goods by countries' income categories¹ - In percent,33188804,up,0.017172054685696245,0.017172054685696245,Economic,True
33188945a_metr,Wage gap between women and men [In percent],Wage gap between women and men,"Wage gap¹ between women and men as a percentage of men's monthly gross wage, private sector",33188945,down,-0.0167135798341046,0.0167135798341046,Social,True
33188804b_metr,Duty-free imports from developing countries [Least developed countries],Duty-free imports from developing countries,Share of duty-free imports in the total value of all imported goods by countries' income categories¹ - In percent,33188804,up,0.01667125031370776,0.01667125031370776,Economic,True
33188757a_metr,Material intensity [Index 2000 = 100],Material intensity,Raw material consumption (RMC) to Gross Domestic Product ratio,33188757,down,-0.016453461843985922,0.016453461843985922,Natural,True
33188608a_metr,Road traffic accidents [Killed ],Road traffic accidents,Number of persons killed or seriously injured in road traffic,33188608,down,-0.01642316001003096,0.01642316001003096,Human,False
33188608b_metr,Road traffic accidents [Seriously injured],Road traffic accidents,Number of persons killed or seriously injured in road traffic,33188608,down,-0.016182821016009076,0.016182821016009076,Human,False
33188939a_metr,Suicide rate [Data],Suicide rate,Deaths by suicide per 100 000 inhabitants,33188939,down,-0.01611630605419433,0.01611630605419433,Human,False
33188943b_metr,Suicide rate by sex [Men],Suicide rate by sex,Deaths by suicide per 100 000 inhabitants,33188943,down,-0.015796499153020966,0.015796499153020966,Human,False
33188732b_metr,Accidents at work [Secondary sector],Accidents at work,Recognised cases per 1000 full-time employees,33188732,down,-0.015125335247993591,0.015125335247993591,Human,False
33188732a_metr,Accidents at work [Primary sector],Accidents at work,Recognised cases per 1000 full-time employees,33188732,down,-0.014989240155268771,0.014989240155268771,Human,False
33188747a_metr,"Tourism gross value added [CHF millions, at current prices]",Tourism gross value added,,33188747,up,0.014889894156185964,0.014889894156185964,Economic,False
33707230b_metr,Unemployment rate based on ILO definition by migration status [Without a migration background],Unemployment rate based on ILO definition by migration status,Share of unemployed people in the labor force aged 15-74 - In percent,33707230,down,-0.014074693422521694,0.014074693422521694,Human,False
33188967a_metr,NEET: Young people neither in employment nor in training [In percent],NEET: Young people neither in employment nor in training,Percentage of not employed young people aged 15 to 29 who are not in education or training,33188967,down,-0.013543179690946996,0.013543179690946996,Human,True
14711940a_metr,Nitrogen load exported [Thousand tonnes],Nitrogen load exported,Total nitrogen load on the Rhine at Basel,14711940,down,-0.013439804050664389,0.013439804050664389,Natural,True
33188724a_metr,Labour productivity [Index 1991=100],Labour productivity,Hourly labour productivity growth at previous year’s prices,33188724,up,0.013339194668055778,0.013339194668055778,Human,True
33188627b_metr,Teaching staff at higher education institutions [Lecturers with management responsibility (UAS/UTE)],Teaching staff at higher education institutions,"Professors and lecturers with management responsibility, share of women - In percent",33188627,up,0.013270506505710428,0.013270506505710428,Human,False
33188881a_metr,Nationally designated protected areas [In percent],Nationally designated protected areas,Percentage of the national territory protected at federal level for conserving biological diversity or particular species,33188881,up,0.013259782180815952,0.013259782180815952,Natural,False
33707230a_metr,Unemployment rate based on ILO definition by migration status [with a migration background],Unemployment rate based on ILO definition by migration status,Share of unemployed people in the labor force aged 15-74 - In percent,33707230,down,-0.012999942836456975,0.012999942836456975,Human,False
33188784a_metr,Distribution of equivalised disposable income (S80/S20) [Data],Distribution of equivalised disposable income (S80/S20),People living in working households,33188784,up,0.012205329733745088,0.012205329733745088,Economic,True
33188669a_metr,Drinking water use [Litres per person and per day],Drinking water use,"Consumption of households, small enterprises, industry and commerce, public services and fountains, self-consumption of distributors and losses",33188669,down,-0.011037951388680921,0.011037951388680921,Natural,False
33188658b_metr,Professional position by sex [Men],Professional position by sex,Percentage of employees working in management or as director in total employees - In percent,33188658,down,-0.011015915889625163,0.011015915889625163,Social,False
28325089a_metr,Greenhouse gas footprint per person [t CO2 eq],Greenhouse gas footprint per person,Greenhouse gas emissions caused by the consumption of goods and services in Switzerland,28325089,down,-0.010636544353440119,0.010636544353440119,Natural,True
33188823a_metr,Material footprint per person [Tonnes per person],Material footprint per person,Raw material consumption (RMC) per person¹,33188823,down,-0.009711351827082692,0.009711351827082692,Natural,False
33188694a_metr,Final energy consumption per capita [Gigajoules per capita],Final energy consumption per capita,Excluding international air traffic,33188694,down,-0.008635799774824905,0.008635799774824905,Human,False
33188931a_metr,Trust in the Federal Council [Data],Trust in the Federal Council,Index from 1 (no trust) to 10 (complete trust),33188931,up,0.007700181503524287,0.007700181503524287,Social,False
33188685a_metr,Final energy consumption by energy source [Petroleum products],Final energy consumption by energy source,Shares in percent,33188685,down,-0.007470873256250992,0.007470873256250992,Natural,False
33188914b_metr,Violent offences by sex [Men],Violent offences by sex,Number of victims for completed serious violent offences¹ known to the police,33188914,down,-0.007301147605856643,0.007301147605856643,Social,True
33188729a_metr,Women's employment rate [In percent],Women's employment rate,"Percentage of active women in the permanent resident population of this age group (women aged 15 to 64 ), in full-time equivalents",33188729,up,0.007259020666080503,0.007259020666080503,Human,False
33188590a_metr,Nitrogen balance from agriculture [Thousand tonnes],Nitrogen balance from agriculture,Difference between the quantities of nitrogen entering cultivated land and those extracted from it,33188590,down,-0.007153561185941504,0.007153561185941504,Natural,True
28325090a_metr,Greenhouse gas footprint of food per person [t CO2 eq],Greenhouse gas footprint of food per person,Greenhouse gas emissions from food consumption in Switzerland,28325090,down,-0.007086557285764471,0.007086557285764471,Natural,True
33188762a_metr,Tourism employment [Data],Tourism employment,In thousands full-time equivalent,33188762,up,0.006216015250026275,0.006216015250026275,Human,False
33188661a_metr,Nitrate in groundwater [In percent],Nitrate in groundwater,Percentage of monitoring sites with exceedances of nitrate level requirements (25 mg/l),33188661,down,-0.006212121212121399,0.006212121212121399,Natural,True
33188873a_metr,Greenhouse gas emissions [Greenhouse gas emissions],Greenhouse gas emissions,CO2 equivalents without the carbon sink effect from the forest - Millions tonnes,33188873,down,-0.005953756075026667,0.005953756075026667,Natural,True
33188658a_metr,Professional position by sex [Women],Professional position by sex,Percentage of employees working in management or as director in total employees - In percent,33188658,down,-0.005557212921141192,0.005557212921141192,Social,False
33188850a_metr,Hazardous chemicals [Dangerous substances],Hazardous chemicals,Number of substances listed in the Chemicals Ordinance (cumulative entries),33188850,up,0.005506596093393202,0.005506596093393202,Natural,False
33188732c_metr,Accidents at work [Tertiary sector],Accidents at work,Recognised cases per 1000 full-time employees,33188732,down,-0.005351214251889088,0.005351214251889088,Human,False
